row_id,customer_id,snapshot_date,plan,region,tenure_months,monthly_charge,support_contacts,churned_next_month
53,C0053,2026-01-31,Premium,South,16,99.74,2,0
54,C0054,2026-01-31,Standard,West,49,70.71,3,0
55,C0055,2026-01-31,Standard,West,44,51.08,0,0
56,C0056,2026-01-31,Basic,East,7,41.68,1,1
57,C0057,2026-01-31,Basic,North,51,29.14,1,0
58,C0058,2026-01-31,Premium,North,7,98.88,1,1
59,C0059,2026-01-31,Standard,South,18,63.74,1,0
60,C0060,2026-01-31,Basic,East,7,32.89,1,0
61,C0061,2026-01-31,Standard,North,32,56.02,1,0
62,C0062,2026-01-31,Standard,East,16,66.7,0,0
63,C0063,2026-01-31,Premium,East,29,98.29,2,0
64,C0064,2026-01-31,Standard,North,3,69.67,1,1
65,C0065,2026-01-31,Standard,North,10,72.13,1,0
66,C0066,2026-01-31,Basic,South,7,40.59,1,0
67,C0067,2026-01-31,Standard,East,28,63.2,2,0
68,C0068,2026-01-31,Standard,West,10,59.47,2,0
69,C0069,2026-01-31,Premium,South,33,98.81,1,0
70,C0070,2026-01-31,Standard,South,48,67.04,0,0
71,C0071,2026-01-31,Basic,West,23,27.32,0,0
72,C0072,2026-01-31,Basic,South,2,36.53,1,0
73,C0073,2026-01-31,Standard,South,14,58.44,0,0
74,C0074,2026-01-31,Premium,South,8,94.52,2,0
75,C0075,2026-01-31,Basic,North,35,36.49,0,0
76,C0076,2026-01-31,Basic,South,35,30.52,2,0
77,C0077,2026-01-31,Standard,East,8,70.97,2,0
78,C0078,2026-01-31,Basic,West,18,29.93,1,0
79,C0079,2026-01-31,Premium,East,31,87.53,3,0
80,C0080,2026-01-31,Basic,West,24,31.53,1,0
81,C0081,2026-01-31,Basic,East,26,36.87,0,0
82,C0082,2026-01-31,Premium,North,25,88.16,1,0
83,C0083,2026-01-31,Basic,South,41,22.3,2,0
84,C0084,2026-01-31,Basic,West,12,42.29,2,0
85,C0085,2026-01-31,Basic,North,32,32.72,1,0
86,C0086,2026-01-31,Basic,West,47,43.56,1,0
87,C0087,2026-01-31,Basic,East,27,34.44,2,0
88,C0088,2026-01-31,Basic,South,2,40.11,1,0
89,C0089,2026-01-31,Basic,West,1,35.19,2,0
90,C0090,2026-01-31,Basic,West,36,37.02,0,0
91,C0091,2026-01-31,Standard,North,3,56.35,1,0
92,C0092,2026-01-31,Standard,North,21,69.99,1,0
93,C0093,2026-01-31,Basic,East,29,36.67,1,0
94,C0094,2026-01-31,Basic,West,31,34.93,3,0
95,C0095,2026-01-31,Standard,North,19,66.73,5,0
96,C0096,2026-01-31,Premium,East,46,84.78,1,0
97,C0097,2026-01-31,Premium,North,24,95.23,0,0
98,C0098,2026-01-31,Basic,East,32,25.79,3,0
99,C0099,2026-01-31,Basic,East,7,31.27,1,1
100,C0100,2026-01-31,Basic,North,45,35.42,1,0
101,C0101,2026-01-31,Basic,East,37,31.27,1,0
102,C0102,2026-01-31,Standard,West,11,73.18,3,1
103,C0103,2026-01-31,Standard,West,18,63.98,4,0
104,C0104,2026-01-31,Basic,North,10,35.04,1,0
105,C0105,2026-01-31,Basic,North,6,38.54,1,0
106,C0106,2026-01-31,Standard,North,29,70.64,0,0
107,C0107,2026-01-31,Basic,South,10,42.2,1,0
108,C0108,2026-01-31,Premium,North,55,77.42,1,0
109,C0109,2026-01-31,Basic,West,49,37.87,1,0
110,C0110,2026-01-31,Premium,West,44,103.22,0,0
111,C0111,2026-01-31,Basic,West,39,35.79,2,0
112,C0112,2026-01-31,Premium,North,37,86.81,1,0
113,C0113,2026-01-31,Premium,North,52,93.3,1,0
114,C0114,2026-01-31,Premium,West,4,88.75,2,0
115,C0115,2026-01-31,Premium,South,18,97.78,1,0
116,C0116,2026-01-31,Standard,East,39,69.41,0,0
117,C0117,2026-01-31,Standard,West,35,62.1,4,0
118,C0118,2026-01-31,Standard,North,3,64.34,2,0
119,C0119,2026-01-31,Basic,North,9,34.64,2,1
120,C0120,2026-01-31,Standard,North,43,65.02,1,0
121,C0121,2026-01-31,Standard,North,20,57.59,2,0
122,C0122,2026-01-31,Premium,North,40,88.87,2,0
123,C0123,2026-01-31,Standard,West,52,68.72,0,0
124,C0124,2026-01-31,Basic,East,17,38.7,1,0
125,C0125,2026-01-31,Standard,West,46,64.97,1,0
126,C0126,2026-01-31,Basic,West,57,37.91,2,0
127,C0127,2026-01-31,Basic,West,42,29.27,3,0
128,C0128,2026-01-31,Standard,North,52,59.84,2,0
129,C0129,2026-01-31,Standard,South,57,56.74,5,0
130,C0130,2026-01-31,Basic,West,55,35.71,1,0
131,C0131,2026-01-31,Basic,North,22,32.26,0,0
132,C0132,2026-01-31,Basic,North,25,34.64,0,0
133,C0133,2026-01-31,Basic,East,27,33.82,1,1
134,C0134,2026-01-31,Basic,West,48,36.36,2,0
135,C0135,2026-01-31,Standard,West,24,64.09,2,0
136,C0136,2026-01-31,Basic,West,37,35.66,0,0
137,C0137,2026-01-31,Premium,North,27,93.34,1,0
138,C0138,2026-01-31,Premium,West,7,91.06,2,0
139,C0139,2026-01-31,Standard,West,2,67.97,0,0
140,C0140,2026-01-31,Basic,East,31,38.68,1,1
141,C0141,2026-01-31,Standard,West,22,60.23,2,0
142,C0142,2026-01-31,Premium,West,40,93.37,1,0
143,C0143,2026-01-31,Standard,South,14,65.47,0,0
144,C0144,2026-01-31,Premium,North,53,97.11,0,0
145,C0145,2026-01-31,Standard,South,31,60.5,0,0
146,C0146,2026-01-31,Standard,North,4,63.38,0,0
147,C0147,2026-01-31,Basic,North,21,22.42,0,0
148,C0148,2026-01-31,Standard,North,10,64.01,2,0
149,C0149,2026-01-31,Basic,East,35,21.08,3,1
150,C0150,2026-01-31,Standard,East,16,65.09,0,0
151,C0151,2026-01-31,Premium,East,45,101.11,0,0
152,C0152,2026-01-31,Basic,East,6,31.63,2,0
153,C0153,2026-01-31,Standard,East,55,57.88,3,0
154,C0154,2026-01-31,Basic,East,24,25.96,0,0
155,C0155,2026-01-31,Standard,North,45,62.82,2,0
156,C0156,2026-01-31,Basic,West,33,29.01,1,0
157,C0157,2026-01-31,Premium,South,7,97.2,1,0
158,C0158,2026-01-31,Basic,North,49,30.2,1,1
159,C0159,2026-01-31,Premium,West,22,93.1,0,0
160,C0160,2026-01-31,Premium,East,1,94.15,0,0
161,C0161,2026-01-31,Standard,North,49,76.6,1,0
162,C0162,2026-01-31,Standard,North,29,59.44,0,0
163,C0163,2026-01-31,Standard,North,53,67.52,1,1
164,C0164,2026-01-31,Premium,South,6,90.73,1,1
165,C0165,2026-01-31,Basic,North,31,32.07,1,0
166,C0166,2026-01-31,Standard,East,22,56.73,1,0
167,C0167,2026-01-31,Basic,East,28,42.95,0,0
168,C0168,2026-01-31,Standard,West,37,68.14,3,0
169,C0169,2026-01-31,Basic,East,28,28.26,2,0
170,C0170,2026-01-31,Standard,East,56,66.96,2,0
171,C0171,2026-01-31,Standard,East,28,74.31,1,0
172,C0172,2026-01-31,Standard,North,8,61.81,1,0
173,C0173,2026-01-31,Standard,North,48,70.8,3,0
174,C0174,2026-01-31,Standard,East,38,61.23,2,0
175,C0175,2026-01-31,Standard,North,5,62.11,0,0
176,C0176,2026-01-31,Standard,North,23,62.32,1,0
177,C0177,2026-01-31,Standard,North,32,73.7,4,1
178,C0178,2026-01-31,Premium,West,16,91.4,2,0
179,C0179,2026-01-31,Basic,South,54,42.16,0,0
180,C0180,2026-01-31,Basic,East,34,35.36,1,0
181,C0001,2026-02-28,Basic,East,57,36.02,2,0
182,C0002,2026-02-28,Standard,North,21,70.07,2,0
183,C0003,2026-02-28,Standard,South,48,59.21,0,0
184,C0004,2026-02-28,Basic,East,52,38.69,1,0
185,C0005,2026-02-28,Basic,East,16,18.33,2,0
186,C0006,2026-02-28,Standard,South,35,69.83,0,0
187,C0007,2026-02-28,Basic,West,6,33.78,1,0
188,C0008,2026-02-28,Premium,West,18,91.64,2,0
189,C0009,2026-02-28,Basic,North,48,40.8,0,0
190,C0010,2026-02-28,Basic,East,38,34.26,0,0
191,C0011,2026-02-28,Premium,East,31,100.26,0,0
192,C0012,2026-02-28,Basic,South,22,38.95,2,0
193,C0013,2026-02-28,Basic,East,54,37.63,1,0
194,C0014,2026-02-28,Standard,West,39,60.61,2,0
195,C0015,2026-02-28,Premium,West,32,98.37,0,0
196,C0016,2026-02-28,Basic,West,55,39.33,0,0
197,C0017,2026-02-28,Basic,East,57,33.48,2,0
198,C0018,2026-02-28,Standard,South,11,54.6,0,0
199,C0019,2026-02-28,Premium,West,48,102.47,2,0
200,C0020,2026-02-28,Standard,South,13,67.19,4,0
201,C0021,2026-02-28,Basic,East,24,33.1,3,0
202,C0022,2026-02-28,Basic,South,34,42.49,1,0
203,C0023,2026-02-28,Basic,South,35,37.77,3,1
204,C0024,2026-02-28,Basic,North,48,33.91,1,0
205,C0025,2026-02-28,Standard,West,53,63.06,0,0
206,C0026,2026-02-28,Basic,North,59,31.52,0,0
207,C0027,2026-02-28,Standard,North,23,62.49,2,0
208,C0028,2026-02-28,Standard,West,55,78.38,3,0
209,C0029,2026-02-28,Standard,East,38,67.34,2,0
210,C0030,2026-02-28,Basic,South,57,40.53,2,0
211,C0031,2026-02-28,Premium,East,55,89.79,1,0
212,C0032,2026-02-28,Standard,South,11,62.36,1,0
213,C0033,2026-02-28,Standard,North,7,67.16,1,0
214,C0034,2026-02-28,Basic,East,30,34.14,0,1
215,C0035,2026-02-28,Basic,North,37,33.05,2,0
216,C0036,2026-02-28,Premium,East,59,94.31,2,0
217,C0037,2026-02-28,Basic,West,47,40.78,1,0
218,C0038,2026-02-28,Basic,West,39,40.93,1,0
219,C0039,2026-02-28,Standard,South,4,54.39,1,0
220,C0040,2026-02-28,Standard,West,45,64.92,0,0
221,C0041,2026-02-28,Premium,East,15,86.26,1,1
222,C0042,2026-02-28,Basic,South,54,37.7,0,0
223,C0043,2026-02-28,Premium,North,13,100.27,2,0
224,C0044,2026-02-28,Basic,South,54,36.07,0,0
225,C0045,2026-02-28,Standard,East,24,58.38,2,0
226,C0046,2026-02-28,Standard,West,9,61.6,2,0
227,C0047,2026-02-28,Basic,North,22,33.73,0,0
228,C0048,2026-02-28,Basic,East,23,34.74,0,0
229,C0049,2026-02-28,Standard,West,12,68.29,0,0
230,C0050,2026-02-28,Premium,West,18,96.26,1,0
231,C0051,2026-02-28,Standard,South,23,62.45,5,0
232,C0052,2026-02-28,Premium,North,31,93.98,0,0
233,C0053,2026-02-28,Premium,South,29,100.89,1,0
234,C0054,2026-02-28,Standard,West,31,59.24,0,0
235,C0055,2026-02-28,Standard,West,6,66.42,3,0
236,C0056,2026-02-28,Basic,East,52,30.18,2,0
237,C0057,2026-02-28,Basic,North,14,30.65,0,0
238,C0058,2026-02-28,Premium,North,12,99.63,3,0
239,C0059,2026-02-28,Standard,South,59,60.1,1,0
240,C0060,2026-02-28,Basic,East,17,31.19,0,0
241,C0061,2026-02-28,Standard,North,35,65.15,1,0
242,C0062,2026-02-28,Standard,East,17,56.28,1,0
243,C0063,2026-02-28,Premium,East,41,102.14,2,0
244,C0064,2026-02-28,Standard,North,2,64.28,1,0
245,C0065,2026-02-28,Standard,North,11,59.09,0,0
246,C0066,2026-02-28,Basic,South,23,37.27,3,0
247,C0067,2026-02-28,Standard,East,40,58.59,1,0
248,C0068,2026-02-28,Standard,West,25,72.59,0,0
249,C0069,2026-02-28,Premium,South,12,96.17,1,0
250,C0070,2026-02-28,Standard,South,12,63.49,1,0
251,C0071,2026-02-28,Basic,West,18,24.34,2,0
252,C0072,2026-02-28,Basic,South,9,38.46,0,0
253,C0073,2026-02-28,Standard,South,27,66.15,0,0
254,C0074,2026-02-28,Premium,South,48,97.25,1,0
255,C0075,2026-02-28,Basic,North,33,36.7,2,0
256,C0076,2026-02-28,Basic,South,20,26.17,3,0
257,C0077,2026-02-28,Standard,East,11,68.89,0,0
258,C0078,2026-02-28,Basic,West,46,42.02,1,0
259,C0079,2026-02-28,Premium,East,51,98.22,1,0
260,C0080,2026-02-28,Basic,West,48,37.33,1,0
261,C0081,2026-02-28,Basic,East,2,45.79,3,0
262,C0082,2026-02-28,Premium,North,44,96.34,0,0
263,C0083,2026-02-28,Basic,South,7,35.81,2,0
264,C0084,2026-02-28,Basic,West,18,40.93,1,0
265,C0085,2026-02-28,Basic,North,57,26.0,0,0
266,C0086,2026-02-28,Basic,West,50,38.84,2,0
267,C0087,2026-02-28,Basic,East,46,25.56,2,0
268,C0088,2026-02-28,Basic,South,3,37.46,2,0
269,C0089,2026-02-28,Basic,West,49,36.22,0,0
270,C0090,2026-02-28,Basic,West,16,46.42,3,0
271,C0091,2026-02-28,Standard,North,5,64.02,0,0
272,C0092,2026-02-28,Standard,North,39,64.32,1,0
273,C0093,2026-02-28,Basic,East,12,26.97,2,1
274,C0094,2026-02-28,Basic,West,55,31.02,0,0
275,C0095,2026-02-28,Standard,North,7,59.36,0,0
276,C0096,2026-02-28,Premium,East,6,93.71,3,0
277,C0097,2026-02-28,Premium,North,26,93.86,1,0
278,C0098,2026-02-28,Basic,East,28,32.67,0,0
279,C0099,2026-02-28,Basic,East,49,30.35,1,1
280,C0100,2026-02-28,Basic,North,51,40.36,1,0
281,C0101,2026-02-28,Basic,East,40,31.61,0,0
282,C0102,2026-02-28,Standard,West,55,58.82,2,1
283,C0103,2026-02-28,Standard,West,21,58.69,2,0
284,C0104,2026-02-28,Basic,North,42,40.05,0,0
285,C0105,2026-02-28,Basic,North,51,33.13,0,0
286,C0106,2026-02-28,Standard,North,45,71.72,2,0
287,C0107,2026-02-28,Basic,South,56,39.86,2,0
288,C0108,2026-02-28,Premium,North,31,102.28,2,0
289,C0109,2026-02-28,Basic,West,32,41.09,0,1
290,C0110,2026-02-28,Premium,West,28,96.64,0,0
291,C0111,2026-02-28,Basic,West,33,33.04,0,0
292,C0112,2026-02-28,Premium,North,45,94.76,1,0
293,C0113,2026-02-28,Premium,North,25,97.86,2,0
294,C0114,2026-02-28,Premium,West,39,96.64,3,0
295,C0115,2026-02-28,Premium,South,42,82.35,4,0
296,C0116,2026-02-28,Standard,East,17,68.87,0,0
297,C0117,2026-02-28,Standard,West,15,58.3,5,0
298,C0118,2026-02-28,Standard,North,19,66.32,1,0
299,C0119,2026-02-28,Basic,North,42,35.07,1,1
300,C0120,2026-02-28,Standard,North,46,65.2,2,0
301,C0121,2026-02-28,Standard,North,12,66.39,1,0
302,C0122,2026-02-28,Premium,North,3,97.85,0,0
303,C0123,2026-02-28,Standard,West,49,56.62,1,0
304,C0124,2026-02-28,Basic,East,3,41.14,1,0
305,C0125,2026-02-28,Standard,West,9,69.07,0,0
306,C0126,2026-02-28,Basic,West,2,40.23,0,0
307,C0127,2026-02-28,Basic,West,10,45.85,3,1
308,C0128,2026-02-28,Standard,North,44,69.35,0,0
309,C0129,2026-02-28,Standard,South,30,52.95,0,0
310,C0130,2026-02-28,Basic,West,43,41.15,3,0
311,C0131,2026-02-28,Basic,North,38,33.4,0,0
312,C0132,2026-02-28,Basic,North,37,32.3,1,0
313,C0133,2026-02-28,Basic,East,35,38.62,0,1
314,C0134,2026-02-28,Basic,West,56,35.88,2,0
315,C0135,2026-02-28,Standard,West,13,47.5,2,0
316,C0136,2026-02-28,Basic,West,55,41.15,1,0
317,C0137,2026-02-28,Premium,North,41,101.16,0,0
318,C0138,2026-02-28,Premium,West,45,87.85,1,0
319,C0139,2026-02-28,Standard,West,9,54.69,1,0
320,C0140,2026-02-28,Basic,East,45,44.63,2,1
321,C0141,2026-02-28,Standard,West,13,60.19,0,0
322,C0142,2026-02-28,Premium,West,52,87.63,0,0
323,C0143,2026-02-28,Standard,South,33,60.49,0,0
324,C0144,2026-02-28,Premium,North,10,107.01,0,0
325,C0145,2026-02-28,Standard,South,10,66.29,1,0
326,C0146,2026-02-28,Standard,North,18,61.48,2,0
327,C0147,2026-02-28,Basic,North,42,33.58,0,0
328,C0148,2026-02-28,Standard,North,30,66.43,0,0
329,C0149,2026-02-28,Basic,East,14,33.16,1,1
330,C0150,2026-02-28,Standard,East,28,69.62,1,1
331,C0151,2026-02-28,Premium,East,26,97.93,0,0
332,C0152,2026-02-28,Basic,East,2,30.28,2,1
333,C0153,2026-02-28,Standard,East,39,56.84,1,0
334,C0154,2026-02-28,Basic,East,32,40.79,1,0
335,C0155,2026-02-28,Standard,North,55,61.0,4,0
336,C0156,2026-02-28,Basic,West,18,26.57,0,0
337,C0157,2026-02-28,Premium,South,13,87.41,2,0
338,C0158,2026-02-28,Basic,North,2,35.96,1,0
339,C0159,2026-02-28,Premium,West,4,90.26,2,0
340,C0160,2026-02-28,Premium,East,7,98.39,2,0
341,C0161,2026-02-28,Standard,North,52,68.96,2,1
342,C0162,2026-02-28,Standard,North,25,62.22,1,0
343,C0163,2026-02-28,Standard,North,31,68.96,1,0
344,C0164,2026-02-28,Premium,South,41,89.03,1,0
345,C0165,2026-02-28,Basic,North,17,27.65,2,1
346,C0166,2026-02-28,Standard,East,14,67.2,0,0
347,C0167,2026-02-28,Basic,East,55,36.64,4,0
348,C0168,2026-02-28,Standard,West,57,70.79,1,1
349,C0169,2026-02-28,Basic,East,6,32.95,0,1
350,C0170,2026-02-28,Standard,East,56,63.43,0,1
351,C0171,2026-02-28,Standard,East,22,64.79,0,0
352,C0172,2026-02-28,Standard,North,18,67.44,1,1
353,C0173,2026-02-28,Standard,North,15,61.22,4,0
354,C0174,2026-02-28,Standard,East,13,65.57,3,0
355,C0175,2026-02-28,Standard,North,47,74.26,1,0
356,C0176,2026-02-28,Standard,North,20,60.72,0,1
357,C0177,2026-02-28,Standard,North,41,66.27,3,0
358,C0178,2026-02-28,Premium,West,47,100.47,0,0
359,C0179,2026-02-28,Basic,South,59,36.29,2,0
360,C0180,2026-02-28,Basic,East,25,30.15,1,0
361,C0001,2026-03-31,Basic,East,25,48.24,0,0
362,C0002,2026-03-31,Standard,North,32,79.03,2,0
363,C0003,2026-03-31,Standard,South,32,66.49,1,1
364,C0004,2026-03-31,Basic,East,60,33.01,2,1
365,C0005,2026-03-31,Basic,East,23,29.34,1,0
366,C0006,2026-03-31,Standard,South,36,65.76,0,0
367,C0007,2026-03-31,Basic,West,7,28.55,0,0
368,C0008,2026-03-31,Premium,West,42,97.0,0,0
369,C0009,2026-03-31,Basic,North,22,29.34,1,0
370,C0010,2026-03-31,Basic,East,45,38.63,2,0
371,C0011,2026-03-31,Premium,East,55,88.53,3,0
372,C0012,2026-03-31,Basic,South,9,37.01,0,1
373,C0013,2026-03-31,Basic,East,31,38.62,0,0
374,C0014,2026-03-31,Standard,West,44,53.83,1,0
375,C0015,2026-03-31,Premium,West,55,92.19,1,0
376,C0016,2026-03-31,Basic,West,47,29.41,1,0
377,C0017,2026-03-31,Basic,East,35,33.92,1,0
378,C0018,2026-03-31,Standard,South,18,61.76,1,0
379,C0019,2026-03-31,Premium,West,3,98.67,4,1
380,C0020,2026-03-31,Standard,South,25,59.8,3,1
381,C0021,2026-03-31,Basic,East,44,30.39,3,0
382,C0022,2026-03-31,Basic,South,47,35.91,2,0
383,C0023,2026-03-31,Basic,South,12,27.28,2,0
384,C0024,2026-03-31,Basic,North,53,28.74,0,0
385,C0025,2026-03-31,Standard,West,44,63.17,0,0
386,C0026,2026-03-31,Basic,North,48,37.95,2,1
387,C0027,2026-03-31,Standard,North,7,64.67,0,0
388,C0028,2026-03-31,Standard,West,45,71.2,3,0
389,C0029,2026-03-31,Standard,East,49,68.31,1,0
390,C0030,2026-03-31,Basic,South,33,35.83,0,0
391,C0031,2026-03-31,Premium,East,47,93.71,1,0
392,C0032,2026-03-31,Standard,South,23,58.46,1,0
393,C0033,2026-03-31,Standard,North,47,46.62,0,0
394,C0034,2026-03-31,Basic,East,7,31.72,0,0
395,C0035,2026-03-31,Basic,North,52,37.75,2,0
396,C0036,2026-03-31,Premium,East,37,85.52,2,1
397,C0037,2026-03-31,Basic,West,44,41.99,1,1
398,C0038,2026-03-31,Basic,West,7,33.16,2,1
399,C0039,2026-03-31,Standard,South,35,62.39,0,0
400,C0040,2026-03-31,Standard,West,53,72.75,2,1
401,C0041,2026-03-31,Premium,East,36,103.21,0,0
402,C0042,2026-03-31,Basic,South,52,37.43,2,0
403,C0043,2026-03-31,Premium,North,23,101.84,1,0
404,C0044,2026-03-31,Basic,South,33,21.68,1,0
405,C0045,2026-03-31,Standard,East,36,66.56,2,1
406,C0046,2026-03-31,Standard,West,10,65.51,0,0
407,C0047,2026-03-31,Basic,North,18,43.88,1,0
408,C0048,2026-03-31,Basic,East,5,39.87,1,0
409,C0049,2026-03-31,Standard,West,60,74.01,0,0
410,C0050,2026-03-31,Premium,West,18,81.88,4,0
411,C0051,2026-03-31,Standard,South,47,59.01,2,0
412,C0052,2026-03-31,Premium,North,20,103.88,1,0
413,C0053,2026-03-31,Premium,South,60,99.73,0,0
414,C0054,2026-03-31,Standard,West,34,64.31,0,0
415,C0055,2026-03-31,Standard,West,12,60.81,1,0
416,C0056,2026-03-31,Basic,East,56,31.9,3,0
417,C0057,2026-03-31,Basic,North,14,34.73,2,0
418,C0058,2026-03-31,Premium,North,59,85.04,0,0
419,C0059,2026-03-31,Standard,South,22,63.9,1,0
420,C0060,2026-03-31,Basic,East,31,30.81,3,0
421,C0061,2026-03-31,Standard,North,58,66.74,1,0
422,C0062,2026-03-31,Standard,East,34,74.45,2,0
423,C0063,2026-03-31,Premium,East,3,91.21,2,0
424,C0064,2026-03-31,Standard,North,46,62.39,3,1
425,C0065,2026-03-31,Standard,North,25,75.93,2,1
426,C0066,2026-03-31,Basic,South,14,33.54,2,0
427,C0067,2026-03-31,Standard,East,36,70.97,2,0
428,C0068,2026-03-31,Standard,West,9,69.44,2,0
429,C0069,2026-03-31,Premium,South,43,92.25,0,0
430,C0070,2026-03-31,Standard,South,32,62.58,1,0
431,C0071,2026-03-31,Basic,West,41,31.37,2,0
432,C0072,2026-03-31,Basic,South,58,27.44,0,0
433,C0073,2026-03-31,Standard,South,24,60.78,0,0
434,C0074,2026-03-31,Premium,South,11,102.94,0,0
435,C0075,2026-03-31,Basic,North,48,36.97,1,0
436,C0076,2026-03-31,Basic,South,39,39.57,3,1
437,C0077,2026-03-31,Standard,East,5,64.4,2,0
438,C0078,2026-03-31,Basic,West,59,43.27,1,0
439,C0079,2026-03-31,Premium,East,11,99.6,2,0
440,C0080,2026-03-31,Basic,West,34,34.27,1,0
441,C0081,2026-03-31,Basic,East,22,36.49,1,0
442,C0082,2026-03-31,Premium,North,19,102.31,0,0
443,C0083,2026-03-31,Basic,South,9,31.39,2,1
444,C0084,2026-03-31,Basic,West,47,31.48,2,0
445,C0085,2026-03-31,Basic,North,31,45.69,2,0
446,C0086,2026-03-31,Basic,West,51,24.2,1,1
447,C0087,2026-03-31,Basic,East,45,32.77,0,0
448,C0088,2026-03-31,Basic,South,14,41.89,0,0
449,C0089,2026-03-31,Basic,West,53,29.78,2,0
450,C0090,2026-03-31,Basic,West,48,38.69,0,0
451,C0091,2026-03-31,Standard,North,36,64.73,2,1
452,C0092,2026-03-31,Standard,North,59,77.12,0,0
453,C0093,2026-03-31,Basic,East,49,22.49,2,0
454,C0094,2026-03-31,Basic,West,42,22.4,0,0
455,C0095,2026-03-31,Standard,North,25,71.8,4,0
456,C0096,2026-03-31,Premium,East,53,84.14,1,0
457,C0097,2026-03-31,Premium,North,42,103.84,0,0
458,C0098,2026-03-31,Basic,East,17,29.22,2,0
459,C0099,2026-03-31,Basic,East,17,40.81,0,0
460,C0100,2026-03-31,Basic,North,51,35.5,2,0
461,C0101,2026-03-31,Basic,East,57,39.28,3,0
462,C0102,2026-03-31,Standard,West,50,53.52,2,1
463,C0103,2026-03-31,Standard,West,47,72.07,2,0
464,C0104,2026-03-31,Basic,North,16,27.01,2,0
465,C0105,2026-03-31,Basic,North,20,23.86,1,0
466,C0106,2026-03-31,Standard,North,39,60.37,1,0
467,C0107,2026-03-31,Basic,South,6,31.69,2,0
468,C0108,2026-03-31,Premium,North,23,90.1,1,0
469,C0109,2026-03-31,Basic,West,31,42.24,5,1
470,C0110,2026-03-31,Premium,West,33,98.53,2,0
471,C0111,2026-03-31,Basic,West,46,31.92,3,0
472,C0112,2026-03-31,Premium,North,50,83.61,1,0
473,C0113,2026-03-31,Premium,North,59,89.3,2,0
474,C0114,2026-03-31,Premium,West,16,90.8,1,0
475,C0115,2026-03-31,Premium,South,18,92.6,1,0
476,C0116,2026-03-31,Standard,East,46,61.07,0,0
477,C0117,2026-03-31,Standard,West,5,67.91,0,0
478,C0118,2026-03-31,Standard,North,22,54.36,2,0
479,C0119,2026-03-31,Basic,North,34,26.09,2,1
