customer_id,snapshot_date,access_group,tenure_months,monthly_charge,support_contacts,usage_hours,plan,region,churned_next_month
C00310,2026-01-31,Group B,31,33.6,1,20.21,Basic,South,0
C00376,2026-01-31,Group B,33,39.24,0,17.09,Basic,East,0
C00306,2026-01-31,Group B,10,62.51,1,39.57,Standard,East,0
C00300,2026-01-31,Group A,34,37.14,1,51.07,Basic,North,0
C00287,2026-01-31,Group A,32,63.21,0,43.98,Standard,East,0
C00280,2026-01-31,Group A,17,70.84,1,36.19,Standard,South,0
C00279,2026-01-31,Group B,70,94.74,2,37.98,Premium,South,0
C00273,2026-01-31,Group C,61,41.04,2,51.9,Basic,East,0
C00272,2026-01-31,Group B,5,65.98,0,51.9,Standard,North,0
C00258,2026-01-31,Group A,15,90.29,3,54.87,Premium,North,0
C00256,2026-01-31,Group A,25,44.87,1,22.01,Basic,West,0
C00250,2026-01-31,Group A,9,66.53,2,36.6,Standard,West,0
C00246,2026-01-31,Group A,46,58.86,1,30.55,Standard,North,0
C00243,2026-01-31,Group B,47,43.2,2,42.73,Basic,West,0
C00303,2026-01-31,Group A,40,67.21,0,45.32,Standard,East,0
C00381,2026-01-31,Group C,2,31.5,2,48.03,Basic,South,0
C00385,2026-01-31,Group C,31,65.72,1,58.71,Standard,West,0
C00386,2026-01-31,Group A,52,31.04,0,49.34,Basic,North,0
C00516,2026-01-31,Group B,71,96.38,0,55.61,Premium,North,0
C00501,2026-01-31,Group A,66,36.55,2,47.04,Basic,East,0
C00497,2026-01-31,Group B,29,32.47,3,40.64,Basic,East,0
C00480,2026-01-31,Group A,46,91.04,1,42.29,Premium,West,0
C00478,2026-01-31,Group A,11,26.37,0,48.22,Basic,West,0
C00467,2026-01-31,Group A,46,65.0,4,29.82,Standard,North,0
C00465,2026-01-31,Group A,10,100.96,2,44.1,Premium,North,0
C00462,2026-01-31,Group B,24,31.17,2,36.99,Basic,North,0
C00460,2026-01-31,Group A,30,59.43,0,32.32,Standard,East,0
C00457,2026-01-31,Group B,6,91.82,0,57.13,Premium,East,0
C00454,2026-01-31,Group B,58,83.31,2,48.85,Premium,North,0
C00443,2026-01-31,Group C,15,95.71,3,31.04,Premium,East,0
C00439,2026-01-31,Group A,26,27.78,1,42.65,Basic,North,0
C00436,2026-01-31,Group B,43,57.15,1,65.1,Standard,North,0
C00434,2026-01-31,Group A,26,65.34,1,42.9,Standard,South,1
C00431,2026-01-31,Group B,6,92.46,1,63.69,Premium,South,0
C00429,2026-01-31,Group A,32,61.5,1,51.11,Standard,West,0
C00418,2026-01-31,Group B,13,44.77,3,26.84,Basic,North,1
C00415,2026-01-31,Group A,37,58.21,2,36.02,Standard,North,0
C00414,2026-01-31,Group A,8,39.56,1,32.34,Basic,West,0
C00410,2026-01-31,Group B,11,45.93,2,35.79,Basic,North,1
C00408,2026-01-31,Group A,28,58.15,3,25.23,Standard,East,1
C00397,2026-01-31,Group B,18,60.99,1,48.61,Standard,West,0
C00390,2026-01-31,Group B,29,31.83,0,56.34,Basic,North,0
C00387,2026-01-31,Group A,57,55.86,1,48.63,Standard,South,0
C00522,2026-01-31,Group A,37,65.57,0,37.45,Standard,South,0
C00241,2026-01-31,Group B,21,90.99,2,46.23,Premium,North,0
C00839,2026-01-31,Group A,9,62.18,4,43.34,Standard,East,1
C00845,2026-01-31,Group C,52,65.78,1,30.95,Standard,South,1
C01342,2026-01-31,Group C,52,33.15,2,33.16,Basic,South,0
C01328,2026-01-31,Group A,31,29.01,2,18.75,Basic,North,0
C01321,2026-01-31,Group C,70,59.41,2,45.61,Standard,South,0
C01300,2026-01-31,Group A,21,94.33,1,60.25,Premium,West,0
C01294,2026-01-31,Group C,64,33.88,4,57.22,Basic,North,0
C01289,2026-01-31,Group B,20,40.65,1,43.45,Basic,North,0
C01286,2026-01-31,Group B,24,63.06,2,41.39,Standard,East,0
C01279,2026-01-31,Group B,25,93.53,0,53.14,Premium,North,0
C01272,2026-01-31,Group A,37,92.24,0,79.26,Premium,West,0
C01270,2026-01-31,Group A,63,63.18,0,42.66,Standard,West,0
C01267,2026-01-31,Group A,25,65.53,1,44.87,Standard,North,0
C01343,2026-01-31,Group B,60,92.21,2,59.95,Premium,East,1
C01266,2026-01-31,Group B,17,60.8,4,35.62,Standard,North,0
C01253,2026-01-31,Group C,47,43.84,3,36.08,Basic,South,0
C01240,2026-01-31,Group A,37,65.3,2,49.42,Standard,South,0
C01238,2026-01-31,Group B,5,59.95,0,49.93,Standard,North,0
C01237,2026-01-31,Group A,68,62.85,3,58.07,Standard,South,0
C01229,2026-01-31,Group B,7,101.02,0,75.1,Premium,West,0
C01227,2026-01-31,Group A,25,91.98,1,61.42,Premium,West,0
C01216,2026-01-31,Group A,22,63.42,4,42.33,Standard,South,1
C01215,2026-01-31,Group B,59,,2,57.7,Standard,East,0
C01190,2026-01-31,Group A,71,56.98,0,66.52,Standard,East,0
C01187,2026-01-31,Group A,33,40.37,0,53.19,Basic,North,0
C01180,2026-01-31,Group A,22,92.35,2,58.8,Premium,West,0
C01256,2026-01-31,Group C,16,63.38,2,57.44,Standard,North,0
C01351,2026-01-31,Group B,64,34.35,0,41.41,Basic,South,0
C01358,2026-01-31,Group C,37,36.08,3,28.55,Basic,North,1
C01359,2026-01-31,Group A,70,,0,37.89,Basic,South,0
C01493,2026-01-31,Group A,5,102.07,1,75.61,Premium,West,0
C01489,2026-01-31,Group A,71,60.01,0,54.22,Standard,North,0
C01488,2026-01-31,Group A,20,61.03,1,51.95,Standard,North,0
C01487,2026-01-31,Group A,65,30.68,1,47.43,Basic,East,0
C01484,2026-01-31,Group C,22,55.02,0,55.69,Standard,West,0
C01482,2026-01-31,Group B,11,98.53,1,29.67,Premium,East,0
C01481,2026-01-31,Group A,21,99.41,1,50.03,Premium,West,0
C01470,2026-01-31,Group A,51,64.78,0,46.35,Standard,West,0
C01466,2026-01-31,Group A,30,85.8,0,35.62,Premium,West,0
C01464,2026-01-31,Group A,66,62.43,1,44.0,Standard,East,0
C01463,2026-01-31,Group C,3,98.49,3,63.79,Premium,West,0
C01456,2026-01-31,Group B,2,37.77,1,55.85,Basic,North,0
C01453,2026-01-31,Group C,67,60.81,4,46.62,Standard,South,0
C01452,2026-01-31,Group C,32,25.17,4,20.54,Basic,East,1
C01450,2026-01-31,Group B,35,59.28,1,48.33,Standard,South,0
C01446,2026-01-31,Group B,8,26.59,0,33.13,Basic,East,1
C01445,2026-01-31,Group B,63,65.42,3,41.55,Standard,North,0
C01436,2026-01-31,Group A,4,29.85,2,23.76,Basic,East,0
C01411,2026-01-31,Group A,46,23.99,0,19.07,Basic,North,0
C01409,2026-01-31,Group A,27,100.41,1,46.12,Premium,South,0
C01406,2026-01-31,Group C,13,31.71,5,29.12,Basic,East,1
C01399,2026-01-31,Group B,16,35.48,1,42.15,Basic,East,0
C01366,2026-01-31,Group C,2,68.62,2,40.53,Standard,West,0
C01362,2026-01-31,Group B,48,33.31,2,23.54,Basic,South,0
C01361,2026-01-31,Group A,33,68.51,3,74.65,Standard,West,0
C01175,2026-01-31,Group A,71,37.04,3,42.28,Basic,West,0
C00844,2026-01-31,Group A,13,91.21,1,46.87,Premium,East,0
C01167,2026-01-31,Group B,27,57.32,0,60.85,Standard,West,0
C01157,2026-01-31,Group A,9,67.17,0,46.12,Standard,South,0
C00948,2026-01-31,Group B,63,43.73,0,31.14,Basic,North,0
C00946,2026-01-31,Group B,24,33.13,0,26.62,Basic,South,0
C00945,2026-01-31,Group B,13,54.96,0,28.7,Standard,East,0
C00938,2026-01-31,Group A,4,91.0,0,45.65,Premium,West,0
C00937,2026-01-31,Group A,42,69.44,3,52.84,Standard,North,0
C00924,2026-01-31,Group A,13,91.61,1,54.86,Premium,South,0
C00910,2026-01-31,Group A,17,25.71,1,45.77,Basic,East,0
C00902,2026-01-31,Group A,17,68.6,1,51.59,Standard,North,0
C00901,2026-01-31,Group A,42,29.45,1,21.0,Basic,East,0
C00899,2026-01-31,Group C,48,100.95,3,44.37,Premium,West,0
C00898,2026-01-31,Group B,47,61.58,0,73.59,Standard,North,0
C00951,2026-01-31,Group C,30,58.95,3,33.98,Standard,East,0
C00891,2026-01-31,Group B,40,38.48,2,32.63,Basic,West,0
C00887,2026-01-31,Group A,46,106.99,0,55.15,Premium,East,0
C00884,2026-01-31,Group B,5,36.01,2,34.22,Basic,East,0
C00881,2026-01-31,Group A,29,29.36,2,35.45,Basic,North,1
C00874,2026-01-31,Group A,27,67.11,1,39.9,Standard,North,0
C00873,2026-01-31,Group B,56,38.95,1,28.21,Basic,East,0
C00870,2026-01-31,Group A,46,22.84,1,45.69,Basic,West,0
C00863,2026-01-31,Group B,62,60.75,0,47.57,Standard,West,0
C00858,2026-01-31,Group A,52,64.95,0,29.85,Standard,East,0
C00848,2026-01-31,Group A,63,34.28,0,26.8,Basic,South,0
C00847,2026-01-31,Group A,42,32.22,2,28.97,Basic,South,0
C00846,2026-01-31,Group B,21,36.2,1,37.75,Basic,West,0
C00889,2026-01-31,Group A,67,63.7,1,45.46,Standard,West,0
C00961,2026-01-31,Group B,9,38.16,0,57.18,Basic,East,0
C00970,2026-01-31,Group B,23,35.42,2,43.96,Basic,North,0
C00975,2026-01-31,Group A,40,44.91,1,39.15,Basic,West,0
C01136,2026-01-31,Group A,27,69.57,1,43.58,Standard,West,0
C01122,2026-01-31,Group A,13,31.76,1,47.72,Basic,East,0
C01121,2026-01-31,Group A,41,102.16,2,52.01,Premium,North,0
C01110,2026-01-31,Group A,59,66.53,1,53.56,Standard,North,0
C01104,2026-01-31,Group B,31,45.52,0,43.36,Basic,East,0
C01099,2026-01-31,Group A,46,66.52,3,44.05,Standard,South,0
C01096,2026-01-31,Group B,60,59.62,2,45.23,Standard,East,0
C01090,2026-01-31,Group B,19,71.49,2,39.84,Standard,West,0
C01078,2026-01-31,Group A,63,99.79,1,51.01,Premium,West,1
C01076,2026-01-31,Group A,15,89.71,1,43.35,Premium,North,0
C01070,2026-01-31,Group B,45,31.29,2,35.25,Basic,West,0
C01063,2026-01-31,Group B,61,62.32,3,38.96,Standard,West,0
C01055,2026-01-31,Group B,32,70.86,2,39.97,Standard,West,0
C01050,2026-01-31,Group B,46,42.77,2,32.44,Basic,North,0
C01046,2026-01-31,Group A,63,97.09,0,54.12,Premium,West,0
C01038,2026-01-31,Group B,44,36.35,1,24.79,Basic,West,1
C01035,2026-01-31,Group A,56,38.37,2,26.39,Basic,South,0
C01027,2026-01-31,Group B,69,73.8,5,43.86,Standard,East,0
C01026,2026-01-31,Group B,16,98.21,1,58.29,Premium,South,1
C01022,2026-01-31,Group B,18,74.37,2,34.47,Standard,West,0
C01021,2026-01-31,Group B,16,104.19,0,56.3,Premium,East,0
C01020,2026-01-31,Group B,30,29.99,2,32.81,Basic,South,0
C01019,2026-01-31,Group A,58,90.18,0,52.3,Premium,West,0
C01005,2026-01-31,Group A,20,44.71,0,20.49,Basic,North,0
C00977,2026-01-31,Group A,16,76.37,0,29.67,Standard,South,0
C01166,2026-01-31,Group A,31,26.71,1,44.32,Basic,North,0
C00233,2026-01-31,Group B,42,32.06,0,33.69,Basic,South,0
C00750,2026-01-31,Group B,38,37.93,3,22.88,Basic,West,0
C00069,2026-01-31,Group B,37,75.44,1,45.94,Standard,South,0
C00041,2026-01-31,Group A,53,95.33,0,51.5,Premium,East,0
C00007,2026-01-31,Group A,57,100.42,1,45.88,Premium,North,0
C00218,2026-01-31,Group A,9,70.35,0,57.97,Standard,East,0
C00217,2026-01-31,Group C,52,94.49,5,57.96,Premium,East,0
C00138,2026-01-31,Group A,40,33.95,1,31.44,Basic,East,0
C00170,2026-01-31,Group B,49,85.78,0,44.48,Premium,South,0
C00045,2026-01-31,Group A,69,38.85,1,33.82,Basic,South,0
C00171,2026-01-31,Group A,39,37.18,1,39.25,Basic,North,0
C00172,2026-01-31,Group C,55,29.97,0,39.17,Basic,South,0
C00083,2026-01-31,Group A,15,,4,72.81,Premium,East,0
C00010,2026-01-31,Group A,11,34.26,2,39.05,Basic,South,0
C00127,2026-01-31,Group A,63,,1,42.76,Premium,North,0
C00147,2026-01-31,Group A,51,29.61,2,31.97,Basic,East,0
C00120,2026-01-31,Group A,51,62.18,0,42.87,Standard,West,0
C00117,2026-01-31,Group C,29,33.9,0,39.98,Basic,East,0
C00178,2026-01-31,Group C,47,65.98,1,38.16,Standard,West,0
C00182,2026-01-31,Group A,18,64.02,0,42.69,Standard,East,0
C00087,2026-01-31,Group B,49,94.05,2,53.46,Premium,West,0
C00018,2026-01-31,Group A,54,60.15,0,45.94,Standard,West,0
C00187,2026-01-31,Group C,4,70.1,1,58.7,Standard,North,0
C00056,2026-01-31,Group A,49,33.78,2,31.61,Basic,North,1
C00104,2026-01-31,Group C,49,65.77,2,34.33,Standard,North,0
C00100,2026-01-31,Group C,21,30.51,3,24.92,Basic,South,1
C00198,2026-01-31,Group C,25,34.73,3,38.88,Basic,North,0
C00058,2026-01-31,Group A,18,64.96,1,43.93,Standard,West,0
C00196,2026-01-31,Group A,14,60.48,0,40.32,Standard,East,0
C00118,2026-01-31,Group B,3,43.96,1,27.11,Basic,West,0
C00074,2026-01-31,Group B,48,30.13,1,49.11,Basic,West,0
C00133,2026-01-31,Group C,70,33.21,3,42.4,Basic,West,0
C00221,2026-01-31,Group A,12,62.56,1,46.32,Standard,North,0
C00150,2026-01-31,Group B,61,60.65,1,44.96,Standard,East,0
C00157,2026-01-31,Group A,60,63.17,1,57.09,Standard,West,0
C00033,2026-01-31,Group A,47,35.43,2,57.09,Basic,West,0
C00036,2026-01-31,Group A,22,35.88,0,37.35,Basic,South,0
C00664,2026-02-28,Group C,22,59.04,0,49.95,Standard,South,0
C00841,2026-02-28,Group A,71,88.68,0,51.42,Premium,West,0
C00111,2026-02-28,Group B,12,82.45,1,55.19,Premium,North,1
C00450,2026-02-28,Group B,6,94.34,3,61.62,Premium,North,0
C00447,2026-02-28,Group A,69,95.67,3,35.53,Premium,East,0
C00838,2026-02-28,Group B,66,62.41,3,47.85,Standard,East,0
C00854,2026-02-28,Group B,17,70.29,1,50.36,Standard,East,0
C00023,2026-02-28,Group B,56,66.51,0,40.5,Standard,South,0
C00442,2026-02-28,Group A,33,41.55,1,46.99,Basic,West,0
C01400,2026-02-28,Group A,40,87.62,1,57.37,Premium,North,0
C00607,2026-02-28,Group B,24,61.39,1,17.49,Standard,South,0
C01186,2026-02-28,Group A,26,60.46,1,60.17,Standard,East,0
C00637,2026-02-28,Group B,71,29.34,2,41.58,Basic,West,0
C00154,2026-02-28,Group A,59,106.25,2,51.57,Premium,South,0
C00855,2026-02-28,Group A,47,63.01,1,20.03,Standard,East,0
C00646,2026-02-28,Group A,48,33.74,1,42.45,Basic,South,0
C00119,2026-02-28,Group A,27,35.66,0,25.07,Basic,South,0
C01297,2026-02-28,Group A,42,66.32,1,13.17,Standard,South,0
C01386,2026-02-28,Group B,10,33.56,2,40.49,Basic,West,0
C00469,2026-02-28,Group B,63,31.65,1,33.71,Basic,North,0
C00638,2026-02-28,Group A,39,96.11,2,43.4,Premium,West,0
C00052,2026-02-28,Group A,41,65.95,2,24.14,Standard,South,0
C01316,2026-02-28,Group C,43,93.72,0,49.78,Premium,South,0
C01388,2026-02-28,Group B,49,30.25,3,31.36,Basic,West,0
C00831,2026-02-28,Group C,6,28.82,1,40.5,Basic,North,0
C01391,2026-02-28,Group C,9,38.27,2,33.54,Basic,West,0
C00832,2026-02-28,Group A,59,33.09,1,36.97,Basic,North,0
C01192,2026-02-28,Group A,40,28.98,1,32.36,Basic,West,0
C01395,2026-02-28,Group A,20,25.15,4,39.14,Basic,South,0
C01193,2026-02-28,Group A,3,32.87,1,45.48,Basic,West,0
C01402,2026-02-28,Group A,20,29.26,2,17.23,Basic,West,0
C01179,2026-02-28,Group A,60,103.48,0,56.05,Premium,East,0
C00814,2026-02-28,Group C,63,97.47,1,34.12,Premium,West,1
C00398,2026-02-28,Group B,38,60.73,0,40.18,Standard,West,0
C00399,2026-02-28,Group A,64,65.73,0,32.54,Standard,West,0
C00626,2026-02-28,Group A,37,26.16,3,24.93,Basic,North,0
C00400,2026-02-28,Group C,56,88.9,3,71.47,Premium,South,0
C00618,2026-02-28,Group A,32,62.22,2,41.17,Standard,South,0
C00890,2026-02-28,Group B,39,28.5,1,26.73,Basic,South,0
C00617,2026-02-28,Group A,34,38.86,0,34.29,Basic,North,0
C00403,2026-02-28,Group A,70,94.38,0,59.94,Premium,South,0
C01307,2026-02-28,Group C,47,69.48,2,55.83,Standard,East,0
C00888,2026-02-28,Group C,70,34.63,3,33.17,Basic,West,0
C00102,2026-02-28,Group A,6,91.22,1,52.24,Premium,North,0
C00411,2026-02-28,Group A,60,98.17,1,40.67,Premium,North,0
C00412,2026-02-28,Group B,22,36.37,2,39.62,Basic,East,0
C00413,2026-02-28,Group B,58,30.12,1,23.5,Basic,North,0
C00857,2026-02-28,Group C,24,44.98,3,18.26,Basic,West,1
C01308,2026-02-28,Group A,17,91.61,1,46.26,Premium,South,0
C01413,2026-02-28,Group A,70,99.57,0,30.36,Premium,East,0
C00872,2026-02-28,Group A,12,32.46,0,37.75,Basic,West,0
C00190,2026-02-28,Group A,16,66.07,2,32.04,Standard,West,0
C00419,2026-02-28,Group B,7,74.49,0,59.73,Standard,North,0
C01410,2026-02-28,Group A,13,33.2,2,45.26,Basic,East,0
C00152,2026-02-28,Group A,15,69.12,0,42.67,Standard,East,0
C00426,2026-02-28,Group B,44,69.55,1,42.22,Standard,East,0
C00189,2026-02-28,Group C,30,68.84,2,31.64,Standard,North,0
C01405,2026-02-28,Group B,60,29.05,0,24.97,Basic,East,0
C01177,2026-02-28,Group A,54,34.22,2,33.4,Basic,West,0
C01404,2026-02-28,Group B,14,32.49,1,41.11,Basic,West,0
C01403,2026-02-28,Group B,50,34.61,0,49.77,Basic,East,0
C00635,2026-02-28,Group C,52,68.01,0,43.52,Standard,East,0
C01178,2026-02-28,Group B,67,97.15,4,45.33,Premium,East,0
C00632,2026-02-28,Group A,3,36.5,0,34.36,Basic,West,0
C01382,2026-02-28,Group B,44,90.48,3,64.16,Premium,North,0
C00481,2026-02-28,Group A,43,38.83,2,54.52,Basic,West,0
C00802,2026-02-28,Group A,36,36.75,2,16.71,Basic,North,0
C00167,2026-02-28,Group A,54,34.59,2,51.96,Basic,East,0
C01251,2026-02-28,Group C,42,27.33,2,45.39,Basic,North,0
C00136,2026-02-28,Group A,4,60.48,1,48.02,Standard,South,0
C00543,2026-02-28,Group B,20,70.46,0,37.65,Standard,West,0
C00544,2026-02-28,Group A,29,101.34,2,25.66,Premium,North,0
C01345,2026-02-28,Group C,51,39.74,1,20.54,Basic,East,0
C00719,2026-02-28,Group B,40,68.6,1,59.7,Standard,South,1
C01257,2026-02-28,Group A,56,71.12,1,35.78,Standard,East,0
C01261,2026-02-28,Group A,14,96.56,1,33.41,Premium,West,0
C00554,2026-02-28,Group A,32,59.09,1,37.72,Standard,East,0
C00032,2026-02-28,Group C,23,34.68,0,46.85,Basic,West,0
C00660,2026-02-28,Group B,65,57.67,1,33.7,Standard,South,0
C00704,2026-02-28,Group C,53,104.2,1,62.33,Premium,East,0
C00703,2026-02-28,Group C,27,32.74,6,33.26,Basic,East,0
C01338,2026-02-28,Group A,10,66.98,0,47.87,Standard,North,1
C00142,2026-02-28,Group C,23,65.81,2,62.05,Standard,West,0
C00143,2026-02-28,Group A,8,28.24,0,23.61,Basic,South,0
C00696,2026-02-28,Group B,47,36.2,3,29.66,Basic,East,0
C00564,2026-02-28,Group A,71,35.5,1,40.95,Basic,South,0
C01265,2026-02-28,Group A,48,87.43,2,74.36,Premium,South,0
C00566,2026-02-28,Group B,66,70.6,2,44.5,Standard,East,0
C00567,2026-02-28,Group B,17,32.96,0,61.07,Basic,North,0
C00568,2026-02-28,Group A,42,73.62,1,58.28,Standard,East,0
C00661,2026-02-28,Group C,14,73.17,2,48.09,Standard,North,0
C00573,2026-02-28,Group A,13,34.2,1,50.7,Basic,East,1
C00685,2026-02-28,Group A,47,56.62,1,46.48,Standard,East,0
C00039,2026-02-28,Group B,70,33.57,1,22.52,Basic,South,0
C00148,2026-02-28,Group A,27,34.25,0,31.99,Basic,North,0
C01288,2026-02-28,Group A,67,67.66,3,51.23,Standard,East,0
C01249,2026-02-28,Group C,57,33.49,1,34.82,Basic,West,0
C01209,2026-02-28,Group C,54,39.1,1,65.99,Basic,South,0
C00534,2026-02-28,Group B,48,,1,51.37,Basic,South,0
C00735,2026-02-28,Group B,29,44.2,2,26.42,Basic,South,0
C00483,2026-02-28,Group A,3,61.38,2,40.32,Standard,East,0
C00799,2026-02-28,Group A,51,88.35,0,36.89,Premium,North,0
C00486,2026-02-28,Group A,56,64.91,0,56.98,Standard,North,0
C00796,2026-02-28,Group A,37,97.77,2,56.73,Premium,East,0
C01291,2026-02-28,Group A,24,96.98,2,67.99,Premium,East,0
C00779,2026-02-28,Group A,46,68.32,3,51.77,Standard,North,0
C00595,2026-02-28,Group C,33,27.25,2,43.39,Basic,South,0
C00593,2026-02-28,Group A,71,62.23,3,36.65,Standard,East,0
C00495,2026-02-28,Group A,42,41.68,2,24.15,Basic,West,0
C01367,2026-02-28,Group A,19,26.97,2,45.45,Basic,North,0
C01364,2026-02-28,Group B,28,95.41,1,36.76,Premium,West,0
C01230,2026-02-28,Group A,10,62.8,1,38.12,Standard,East,0
C00505,2026-02-28,Group A,4,93.71,1,39.7,Premium,West,0
C00761,2026-02-28,Group A,43,32.82,1,29.29,Basic,East,0
C01155,2026-02-28,Group B,35,96.22,2,54.08,Premium,North,0
C00508,2026-02-28,Group B,35,70.77,0,43.29,Standard,North,0
C00509,2026-02-28,Group B,59,66.54,3,32.31,Standard,South,0
C00510,2026-02-28,Group C,66,62.69,2,32.82,Standard,East,0
C00749,2026-02-28,Group A,51,96.72,1,63.02,Premium,South,0
C00748,2026-02-28,Group B,42,,1,45.64,Basic,South,0
C01355,2026-02-28,Group B,44,106.88,1,40.27,Premium,East,0
C00744,2026-02-28,Group B,19,67.74,2,11.37,Standard,West,0
C01322,2026-02-28,Group A,71,40.13,0,39.33,Basic,South,0
C00523,2026-02-28,Group A,62,100.63,0,28.58,Premium,West,0
C01239,2026-02-28,Group C,30,29.23,1,36.68,Basic,East,0
C00525,2026-02-28,Group A,35,62.95,0,33.03,Standard,North,0
C00526,2026-02-28,Group A,66,37.12,1,44.37,Basic,West,0
C00653,2026-02-28,Group C,60,30.38,1,5.05,Basic,South,0
C01326,2026-02-28,Group B,10,44.51,2,41.42,Basic,East,0
C00168,2026-02-28,Group A,70,,3,36.51,Standard,South,0
C00097,2026-02-28,Group A,10,91.0,1,62.03,Premium,East,0
C01174,2026-02-28,Group A,56,45.66,1,25.88,Basic,North,0
C00009,2026-02-28,Group A,2,,3,52.02,Basic,East,1
C01028,2026-02-28,Group A,52,57.35,1,25.72,Standard,West,0
