customer_id,snapshot_date,tenure_months,monthly_charges,support_calls_30d,usage_hours_30d,plan,contract_type,region,churned_30d
CUST-0207,2026-06-30,74.0,,0.0,52.5,Basic,Monthly,North,0
CUST-0208,2026-06-30,94.0,89.99,2.0,18.8,Basic,Annual,East,1
CUST-0209,2026-06-30,26.0,65.16,3.0,33.4,Premium,Two-year,East,0
CUST-0210,2026-06-30,75.0,76.75,1.0,28.6,Standard,Monthly,East,0
CUST-0211,2026-06-30,26.0,98.14,1.0,40.6,Standard,Two-year,West,0
CUST-0212,2026-06-30,69.0,103.86,2.0,27.8,Standard,Annual,East,0
CUST-0213,2026-06-30,76.0,70.34,0.0,33.7,Premium,Annual,East,0
CUST-0214,2026-06-30,44.0,,2.0,34.2,Standard,Annual,South,0
CUST-0215,2026-06-30,71.0,74.21,0.0,26.2,Premium,Annual,East,0
CUST-0216,2026-06-30,27.0,51.9,4.0,45.8,Premium,Annual,West,0
CUST-0217,2026-06-30,8.0,57.73,1.0,41.8,Premium,Monthly,East,0
CUST-0218,2026-06-30,10.0,36.47,1.0,36.6,Standard,Monthly,East,0
CUST-0219,2026-06-30,43.0,50.68,1.0,31.1,Premium,Monthly,South,0
CUST-0220,2026-06-30,87.0,63.41,1.0,50.7,Standard,Monthly,East,0
CUST-0221,2026-06-30,13.0,91.29,0.0,34.2,Standard,Annual,West,0
CUST-0222,2026-06-30,44.0,113.3,0.0,33.1,,Monthly,North,0
CUST-0223,2026-06-30,68.0,38.83,2.0,39.7,Standard,Monthly,North,0
CUST-0224,2026-06-30,20.0,81.43,0.0,65.1,Basic,Monthly,East,0
CUST-0225,2026-06-30,70.0,47.03,1.0,16.6,Standard,Monthly,South,0
CUST-0226,2026-06-30,30.0,83.39,1.0,,Basic,Annual,East,0
CUST-0227,2026-06-30,78.0,68.85,2.0,7.7,Standard,Annual,North,0
CUST-0228,2026-06-30,56.0,28.06,0.0,41.5,Standard,Monthly,South,0
CUST-0229,2026-06-30,53.0,94.28,0.0,63.2,Premium,Monthly,East,0
CUST-0230,2026-06-30,17.0,57.48,1.0,45.8,Basic,Monthly,East,0
CUST-0231,2026-06-30,45.0,59.19,5.0,40.7,Premium,Monthly,East,1
CUST-0232,2026-06-30,83.0,46.33,1.0,29.0,Standard,Annual,East,0
CUST-0233,2026-06-30,2.0,56.3,3.0,38.5,Basic,Annual,East,1
CUST-0234,2026-06-30,73.0,82.27,4.0,34.0,,Monthly,West,0
CUST-0235,2026-06-30,48.0,67.46,2.0,25.4,Basic,Monthly,East,0
CUST-0236,2026-06-30,70.0,79.89,1.0,33.4,Basic,Two-year,East,0
CUST-0237,2026-06-30,64.0,80.69,0.0,41.2,Standard,Annual,East,0
CUST-0238,2026-06-30,42.0,103.7,3.0,25.7,Standard,Monthly,North,1
CUST-0239,2026-06-30,30.0,63.77,4.0,25.1,Standard,Monthly,South,1
CUST-0240,2026-06-30,61.0,36.56,1.0,16.2,Basic,Monthly,East,0
CUST-0241,2026-06-30,14.0,97.61,2.0,44.3,Basic,Two-year,West,0
CUST-0242,2026-06-30,57.0,64.04,1.0,46.7,Basic,Monthly,East,0
CUST-0243,2026-06-30,10.0,98.75,1.0,41.7,Standard,Monthly,North,1
CUST-0244,2026-06-30,63.0,81.2,0.0,53.4,Standard,Two-year,East,0
CUST-0245,2026-06-30,61.0,68.85,0.0,39.4,Standard,Annual,North,0
CUST-0246,2026-06-30,9.0,80.37,2.0,44.3,Basic,Monthly,East,1
CUST-0247,2026-06-30,73.0,118.82,2.0,42.9,Basic,Monthly,West,1
CUST-0248,2026-06-30,40.0,121.85,4.0,36.5,Premium,Monthly,East,1
CUST-0249,2026-06-30,76.0,73.67,4.0,29.5,Basic,Annual,East,0
CUST-0250,2026-06-30,4.0,75.84,0.0,73.4,Basic,Monthly,South,0
CUST-0251,2026-06-30,18.0,97.83,2.0,30.8,Basic,Two-year,South,1
CUST-0252,2026-06-30,48.0,51.7,3.0,27.3,Premium,Two-year,West,0
CUST-0253,2026-06-30,19.0,79.99,0.0,44.9,Premium,Monthly,East,0
CUST-0254,2026-06-30,32.0,71.38,3.0,42.0,Premium,Annual,East,0
CUST-0255,2026-06-30,64.0,79.53,1.0,15.5,Premium,Monthly,South,0
CUST-0256,2026-06-30,14.0,52.0,0.0,56.0,Basic,Monthly,North,1
CUST-0257,2026-06-30,66.0,33.85,5.0,36.5,Premium,Annual,North,0
CUST-0258,2026-06-30,10.0,22.25,1.0,20.2,Basic,Monthly,North,0
CUST-0259,2026-06-30,17.0,45.18,2.0,57.0,Premium,Monthly,South,0
CUST-0260,2026-06-30,57.0,60.99,4.0,48.0,Standard,Monthly,West,0
CUST-0261,2026-06-30,77.0,64.96,1.0,17.8,Standard,Monthly,South,0
CUST-0262,2026-06-30,17.0,118.49,1.0,66.4,Premium,Monthly,North,0
CUST-0263,2026-06-30,29.0,98.54,3.0,48.5,Basic,Annual,North,1
CUST-0264,2026-06-30,89.0,48.91,1.0,37.8,Premium,Annual,South,0
CUST-0265,2026-06-30,96.0,80.35,2.0,63.4,Standard,Annual,West,0
CUST-0266,2026-06-30,56.0,,0.0,40.5,Premium,Annual,South,0
CUST-0267,2026-06-30,43.0,65.18,2.0,37.6,Premium,Monthly,West,0
CUST-0268,2026-06-30,34.0,76.45,0.0,27.4,Basic,Annual,West,0
CUST-0269,2026-06-30,59.0,86.86,2.0,47.3,Premium,Monthly,North,0
CUST-0270,2026-06-30,57.0,63.86,0.0,45.6,Standard,Monthly,East,0
CUST-0271,2026-06-30,29.0,97.53,1.0,38.2,Premium,Two-year,West,0
CUST-0272,2026-06-30,3.0,44.59,0.0,25.4,Basic,Monthly,South,0
CUST-0273,2026-06-30,15.0,72.15,4.0,40.1,Standard,Monthly,North,0
CUST-0274,2026-06-30,93.0,134.34,3.0,36.9,Premium,Monthly,West,1
CUST-0275,2026-06-30,41.0,77.35,1.0,16.7,Standard,Monthly,West,0
CUST-0276,2026-06-30,47.0,,3.0,14.5,Basic,Monthly,East,0
CUST-0277,2026-06-30,45.0,74.2,3.0,47.0,Basic,Monthly,East,0
CUST-0278,2026-06-30,76.0,85.94,2.0,0.0,Premium,Two-year,North,0
CUST-0279,2026-06-30,7.0,70.64,0.0,41.3,Basic,Monthly,West,1
CUST-0280,2026-06-30,8.0,67.91,1.0,30.4,Premium,Monthly,South,0
CUST-0281,2026-06-30,27.0,53.29,3.0,58.9,Premium,Monthly,North,1
CUST-0282,2026-06-30,47.0,82.33,1.0,30.1,Basic,Annual,East,0
CUST-0283,2026-06-30,65.0,,2.0,48.6,Basic,Monthly,West,0
CUST-0284,2026-06-30,48.0,87.97,2.0,31.6,Premium,Monthly,West,0
CUST-0285,2026-06-30,43.0,98.05,6.0,39.8,Basic,Monthly,South,1
CUST-0286,2026-06-30,91.0,80.8,5.0,49.8,Premium,Annual,North,0
CUST-0287,2026-06-30,16.0,65.13,2.0,30.6,Premium,Annual,West,0
CUST-0288,2026-06-30,55.0,82.9,1.0,53.9,Premium,Annual,West,0
CUST-0289,2026-06-30,53.0,64.59,0.0,22.1,Standard,Annual,East,0
CUST-0290,2026-06-30,46.0,94.45,0.0,42.7,Premium,Monthly,East,0
CUST-0291,2026-06-30,78.0,28.05,4.0,52.8,Premium,Monthly,South,0
CUST-0292,2026-06-30,26.0,63.95,0.0,48.6,Basic,Monthly,South,1
CUST-0293,2026-06-30,92.0,24.22,2.0,68.7,Standard,Monthly,North,0
CUST-0294,2026-06-30,32.0,36.12,3.0,25.8,Premium,Monthly,North,0
CUST-0295,2026-06-30,53.0,104.73,0.0,15.9,Premium,Monthly,North,0
CUST-0296,2026-06-30,50.0,93.48,0.0,22.1,Standard,Monthly,West,0
CUST-0297,2026-06-30,82.0,54.73,0.0,48.6,Standard,Annual,North,0
CUST-0298,2026-06-30,,35.94,1.0,46.0,Basic,Monthly,North,0
CUST-0299,2026-06-30,28.0,18.0,3.0,39.6,Basic,Annual,East,0
CUST-0300,2026-06-30,3.0,58.96,4.0,20.0,Basic,Annual,North,1
CUST-0301,2026-06-30,35.0,130.09,0.0,,Premium,Monthly,North,0
CUST-0302,2026-06-30,80.0,82.44,1.0,18.4,Basic,Monthly,East,0
CUST-0303,2026-06-30,1.0,58.57,3.0,56.5,Premium,Annual,South,1
CUST-0304,2026-06-30,87.0,83.16,1.0,83.7,Basic,Annual,East,0
CUST-0305,2026-06-30,53.0,34.54,3.0,43.9,Standard,Monthly,West,0
CUST-0306,2026-06-30,14.0,64.86,1.0,47.3,Standard,Monthly,North,1
CUST-0307,2026-06-30,30.0,74.39,1.0,30.1,Standard,Annual,West,1
CUST-0308,2026-06-30,54.0,69.93,0.0,9.0,Premium,Annual,West,0
CUST-0309,2026-06-30,31.0,90.98,2.0,28.4,Premium,Monthly,West,0
CUST-0310,2026-06-30,11.0,80.27,3.0,20.5,Premium,Monthly,East,1
CUST-0311,2026-06-30,64.0,88.04,1.0,14.8,Basic,Two-year,East,0
CUST-0312,2026-06-30,65.0,55.48,1.0,65.6,Premium,Monthly,East,0
CUST-0313,2026-06-30,12.0,93.55,1.0,42.4,Basic,Annual,East,0
CUST-0314,2026-06-30,27.0,111.09,4.0,44.1,Premium,Monthly,North,0
CUST-0315,2026-06-30,24.0,48.72,3.0,33.1,Standard,Monthly,West,0
CUST-0316,2026-06-30,64.0,50.7,3.0,35.2,Standard,Monthly,East,0
CUST-0317,2026-06-30,71.0,104.06,3.0,53.4,Basic,Monthly,West,0
CUST-0318,2026-06-30,70.0,67.41,2.0,37.5,Basic,Two-year,South,0
CUST-0319,2026-06-30,91.0,105.69,2.0,46.5,Basic,Monthly,North,0
CUST-0320,2026-06-30,74.0,61.38,1.0,34.9,Premium,Two-year,South,0
CUST-0321,2026-06-30,31.0,106.92,1.0,32.5,Premium,Monthly,South,0
CUST-0322,2026-06-30,11.0,75.16,2.0,15.5,Premium,Annual,South,0
CUST-0323,2026-06-30,60.0,78.2,0.0,6.4,Basic,Two-year,South,0
CUST-0324,2026-06-30,88.0,109.55,1.0,33.8,Premium,Monthly,South,0
CUST-0325,2026-06-30,94.0,63.32,1.0,38.9,Basic,Monthly,East,0
CUST-0326,2026-06-30,23.0,49.41,4.0,17.4,Standard,Annual,South,0
CUST-0327,2026-06-30,23.0,61.23,1.0,37.4,Standard,Monthly,West,0
CUST-0328,2026-06-30,4.0,82.86,0.0,38.9,Standard,Two-year,North,0
CUST-0329,2026-06-30,14.0,34.42,1.0,3.5,Premium,Monthly,South,1
