customer_id,snapshot_date,plan,region,tenure_months,monthly_charge,support_contacts,usage_hours,churned_next_month
C0101,2026-01-31,Premium,North,30,86.12,1,74.01,0
C0102,2026-01-31,Standard,North,34,62.07,3,39.54,0
C0103,2026-01-31,Basic,North,21,31.33,0,51.34,0
C0104,2026-01-31,Premium,West,11,92.85,0,58.18,0
C0105,2026-01-31,Standard,South,20,73.48,0,35.94,0
C0106,2026-01-31,Standard,East,21,66.09,0,55.77,0
C0107,2026-01-31,Standard,South,24,63.74,1,40.63,1
C0108,2026-01-31,Basic,North,28,30.97,1,30.19,0
C0109,2026-01-31,Basic,South,58,39.83,0,32.76,0
C0110,2026-01-31,Premium,North,66,91.67,4,41.59,0
C0111,2026-01-31,Standard,West,55,59.45,1,36.05,0
C0112,2026-01-31,Basic,North,24,34.95,2,49.83,0
C0113,2026-01-31,Basic,South,55,37.91,0,35.89,0
C0114,2026-01-31,Standard,West,36,64.65,1,31.97,0
C0115,2026-01-31,Basic,East,10,41.54,2,33.61,0
C0116,2026-01-31,Premium,South,21,95.57,0,62.84,0
C0117,2026-01-31,Standard,East,33,69.61,1,48.92,0
C0118,2026-01-31,Standard,West,14,60.03,1,41.4,0
C0119,2026-01-31,Standard,South,4,58.88,1,60.83,0
C0120,2026-01-31,Standard,East,63,67.92,1,55.75,0
C0121,2026-01-31,Standard,West,12,66.36,2,50.35,0
C0122,2026-01-31,Standard,East,50,69.82,0,52.6,0
C0123,2026-01-31,Basic,South,43,27.97,0,37.29,0
C0124,2026-01-31,Basic,North,19,32.13,0,39.74,0
C0125,2026-01-31,Basic,North,30,37.04,1,43.46,0
C0126,2026-01-31,Standard,West,28,61.85,4,51.72,0
C0127,2026-01-31,Basic,East,51,38.92,2,45.03,0
C0128,2026-01-31,Basic,South,59,42.72,0,27.41,0
C0129,2026-01-31,Basic,South,20,33.6,0,39.75,0
C0130,2026-01-31,Standard,East,46,66.06,1,33.75,0
C0131,2026-01-31,Basic,East,46,37.45,0,27.55,0
C0132,2026-01-31,Premium,East,32,96.08,0,67.59,0
C0133,2026-01-31,Standard,South,52,64.86,1,52.53,0
C0134,2026-01-31,Basic,East,36,40.34,1,49.88,0
C0135,2026-01-31,Standard,South,2,66.24,2,45.79,0
C0136,2026-01-31,Basic,West,55,33.34,1,39.15,0
C0137,2026-01-31,Premium,North,28,90.29,0,54.52,0
C0138,2026-01-31,Standard,North,51,68.66,1,40.68,0
C0139,2026-01-31,Standard,South,19,66.66,0,40.66,0
C0140,2026-01-31,Basic,East,62,30.28,1,52.71,0
C0141,2026-01-31,,East,54,79.06,0,32.2,0
C0142,2026-01-31,Standard,South,64,60.75,0,41.78,0
C0143,2026-01-31,Premium,West,22,97.41,1,45.64,0
C0144,2026-01-31,Standard,South,14,66.17,1,38.74,0
C0145,2026-01-31,Standard,North,62,62.66,1,54.08,0
C0146,2026-01-31,,North,52,30.34,0,24.26,0
C0147,2026-01-31,Basic,West,47,34.1,0,33.95,0
C0148,2026-01-31,Standard,North,28,64.12,1,42.8,0
C0149,2026-01-31,Standard,West,20,62.83,3,45.52,0
C0150,2026-01-31,Basic,South,67,30.67,1,52.01,0
C0151,2026-01-31,Premium,North,4,95.43,3,47.14,0
C0152,2026-01-31,Premium,South,36,95.75,0,52.7,0
C0153,2026-01-31,Basic,East,53,28.57,1,25.04,0
C0154,2026-01-31,Standard,South,46,64.8,0,35.5,0
C0155,2026-01-31,Basic,West,20,37.46,3,30.53,0
C0156,2026-01-31,Standard,East,21,64.73,0,43.66,0
C0157,2026-01-31,Basic,South,23,40.17,1,42.52,0
C0158,2026-01-31,Standard,East,53,67.75,1,30.63,0
C0159,2026-01-31,Standard,West,28,67.39,0,59.54,0
C0160,2026-01-31,Standard,South,28,59.55,3,47.71,1
C0161,2026-01-31,Basic,North,21,44.43,1,33.6,0
C0162,2026-01-31,Premium,South,19,100.52,1,52.59,0
C0163,2026-01-31,Basic,West,8,39.86,1,28.13,0
C0164,2026-01-31,Basic,North,48,41.01,0,49.34,0
C0165,2026-01-31,Standard,West,2,63.47,2,20.67,0
C0166,2026-01-31,Basic,East,6,32.83,0,19.83,0
C0167,2026-01-31,Premium,East,62,99.13,2,48.51,0
C0168,2026-01-31,Premium,South,35,97.02,3,63.3,0
C0169,2026-01-31,Basic,West,20,35.06,1,30.29,1
C0170,2026-01-31,Premium,North,33,100.0,2,51.75,0
C0171,2026-01-31,,South,31,32.54,0,32.97,0
C0172,2026-01-31,Standard,South,12,70.25,0,57.39,0
C0173,2026-01-31,Basic,South,25,39.06,1,40.42,0
C0174,2026-01-31,Premium,South,53,102.51,0,57.4,0
C0175,2026-01-31,Basic,North,17,35.75,3,46.28,0
C0176,2026-01-31,Basic,North,55,37.4,3,51.11,0
C0177,2026-01-31,Standard,North,28,68.94,1,33.44,0
C0178,2026-01-31,Premium,East,18,93.23,1,46.08,1
C0179,2026-01-31,Premium,South,5,92.41,4,56.42,0
C0180,2026-01-31,Standard,East,49,64.78,2,34.21,0
C0181,2026-01-31,Premium,East,2,92.79,2,64.34,0
C0182,2026-01-31,Premium,East,15,91.51,3,25.61,1
C0183,2026-01-31,Standard,East,9,72.88,3,22.73,0
C0184,2026-01-31,Basic,East,20,38.08,3,13.68,0
C0185,2026-01-31,Standard,East,27,65.5,1,46.4,0
C0186,2026-01-31,Standard,East,37,57.39,2,46.85,0
C0187,2026-01-31,Basic,East,60,26.62,2,17.52,0
C0188,2026-01-31,Basic,South,28,34.35,0,27.48,0
C0189,2026-01-31,Standard,North,69,69.1,0,49.27,0
C0190,2026-01-31,Basic,West,39,32.98,3,60.82,0
C0191,2026-01-31,Premium,South,5,91.98,1,59.0,0
C0192,2026-01-31,Basic,East,38,28.43,0,31.52,0
C0193,2026-01-31,Basic,North,64,41.61,1,36.04,0
C0194,2026-01-31,Premium,South,39,96.64,1,44.58,0
C0195,2026-01-31,Basic,East,19,44.08,3,14.42,0
C0196,2026-01-31,Basic,East,44,34.43,1,35.48,0
C0197,2026-01-31,Standard,East,37,64.99,1,39.1,0
C0198,2026-01-31,Premium,South,25,91.19,0,56.69,0
C0199,2026-01-31,Basic,West,9,41.16,1,24.36,0
C0200,2026-01-31,Basic,East,45,41.09,1,33.74,0
C0201,2026-01-31,Standard,West,18,61.99,1,53.87,0
C0202,2026-01-31,Premium,East,37,92.07,1,55.35,0
C0203,2026-01-31,Standard,East,27,67.72,3,46.69,0
C0204,2026-01-31,Basic,West,39,38.41,0,23.77,0
C0205,2026-01-31,Basic,North,60,40.74,0,46.4,0
C0206,2026-01-31,Basic,West,24,30.65,2,24.47,1
C0207,2026-01-31,Basic,West,27,34.77,4,39.26,1
C0208,2026-01-31,Standard,East,29,67.5,1,35.51,0
C0209,2026-01-31,Basic,East,64,24.5,2,27.81,0
C0210,2026-01-31,Standard,East,57,70.67,4,36.45,0
C0211,2026-01-31,Standard,South,50,76.36,1,50.49,0
C0212,2026-01-31,Standard,West,40,60.92,2,44.7,0
C0213,2026-01-31,Basic,North,18,39.84,0,34.3,0
C0214,2026-01-31,Premium,South,57,95.41,1,72.84,0
C0215,2026-01-31,Standard,East,2,56.96,3,48.95,0
C0216,2026-01-31,Standard,West,47,70.19,1,38.97,0
C0217,2026-01-31,Basic,South,48,30.51,1,37.79,0
C0218,2026-01-31,Basic,South,28,28.35,0,45.06,0
C0219,2026-01-31,Premium,North,40,91.61,1,69.61,0
C0220,2026-01-31,Basic,North,32,31.58,2,32.63,1
C0221,2026-01-31,Basic,North,7,42.33,1,23.58,1
C0222,2026-01-31,Standard,North,41,65.03,2,63.07,0
C0223,2026-01-31,Standard,West,14,63.93,1,37.8,0
C0224,2026-01-31,Premium,West,13,90.15,1,35.31,0
C0225,2026-01-31,Basic,West,36,32.43,0,33.08,0
C0226,2026-01-31,Premium,North,62,85.51,0,62.21,0
C0227,2026-01-31,Basic,North,24,30.25,1,34.18,0
C0228,2026-01-31,Standard,South,36,63.26,1,31.0,0
C0229,2026-01-31,Standard,East,22,61.72,2,41.39,0
C0230,2026-01-31,Basic,South,11,37.43,0,28.39,0
C0231,2026-01-31,Basic,South,19,37.27,1,34.25,0
C0232,2026-01-31,Basic,North,50,27.57,1,57.24,0
C0233,2026-01-31,Premium,East,69,85.45,0,48.28,0
C0234,2026-01-31,Standard,South,4,65.73,4,53.95,0
C0235,2026-01-31,Premium,North,43,99.18,0,53.53,0
C0236,2026-01-31,Premium,East,8,94.43,3,50.07,1
C0237,2026-01-31,Standard,West,16,65.34,1,38.15,0
C0238,2026-01-31,Standard,North,53,59.57,0,21.01,0
C0239,2026-01-31,Basic,South,23,30.48,2,22.75,0
C0240,2026-01-31,Basic,West,16,29.15,0,13.19,0
C0241,2026-01-31,Premium,East,7,90.28,1,30.58,0
C0242,2026-01-31,Standard,West,41,68.24,1,29.08,0
C0243,2026-01-31,Basic,South,45,32.65,1,47.09,0
C0244,2026-01-31,Standard,South,24,63.03,1,35.5,0
C0245,2026-01-31,Standard,East,54,68.75,2,59.97,0
C0246,2026-01-31,Premium,North,42,91.53,3,46.59,0
C0247,2026-01-31,Standard,North,60,63.78,2,50.22,0
C0248,2026-01-31,Basic,East,32,32.68,1,30.22,0
C0249,2026-01-31,Basic,East,53,37.51,0,46.05,0
C0250,2026-01-31,Standard,North,18,64.72,1,47.67,0
C0251,2026-01-31,Standard,East,29,68.38,3,41.61,0
C0252,2026-01-31,Premium,South,23,93.7,1,61.88,0
C0253,2026-01-31,Standard,East,46,73.63,1,39.52,0
C0254,2026-01-31,Basic,West,39,32.15,0,27.88,0
C0255,2026-01-31,Basic,North,11,32.32,1,18.58,0
C0256,2026-01-31,Standard,West,29,69.22,0,25.64,0
C0257,2026-01-31,Premium,South,35,95.05,0,52.2,0
C0258,2026-01-31,Basic,West,66,39.9,3,43.8,0
C0259,2026-01-31,Basic,South,40,40.98,2,29.24,0
C0260,2026-01-31,Standard,South,30,68.66,1,40.92,0
C0261,2026-01-31,Basic,West,61,34.22,2,48.29,0
C0262,2026-01-31,Premium,East,12,90.89,0,65.44,1
C0263,2026-01-31,Basic,North,61,27.66,1,53.13,0
C0264,2026-01-31,Basic,East,12,37.55,2,55.14,0
C0265,2026-01-31,Premium,West,64,89.63,1,33.51,1
C0266,2026-01-31,Basic,South,47,36.98,3,52.68,0
C0267,2026-01-31,Basic,West,38,37.56,2,31.93,0
C0268,2026-01-31,Basic,East,56,37.11,1,44.93,0
C0269,2026-01-31,Basic,South,48,39.89,2,37.0,0
C0270,2026-01-31,Basic,North,64,27.97,1,37.4,0
C0271,2026-01-31,Basic,East,15,40.71,0,19.83,0
C0272,2026-01-31,Basic,North,46,34.99,2,23.28,0
C0273,2026-01-31,Basic,West,52,29.9,1,26.53,0
C0274,2026-01-31,Standard,East,8,58.64,0,49.48,0
C0275,2026-01-31,Standard,South,11,58.25,1,56.09,0
C0276,2026-01-31,Basic,North,23,40.28,1,25.05,0
C0277,2026-01-31,Basic,East,21,32.99,0,34.96,0
C0278,2026-01-31,Standard,North,52,65.12,0,36.0,0
C0279,2026-01-31,Premium,South,35,98.63,1,52.19,0
C0280,2026-01-31,Premium,West,53,93.36,1,46.39,0
C0281,2026-01-31,Basic,West,9,35.92,1,45.41,0
C0282,2026-01-31,Basic,West,40,31.32,1,51.8,0
C0283,2026-01-31,Basic,West,12,40.14,2,31.39,0
C0284,2026-01-31,Basic,East,69,31.08,2,44.37,0
C0285,2026-01-31,Standard,North,55,64.02,1,46.17,0
C0286,2026-01-31,Basic,West,18,36.05,1,51.09,0
C0287,2026-01-31,,West,17,34.7,1,43.93,0
C0288,2026-01-31,Basic,West,42,46.66,1,39.65,1
C0289,2026-01-31,Standard,East,38,55.13,4,48.26,0
C0290,2026-01-31,Basic,North,67,46.8,0,26.71,0
C0291,2026-01-31,Premium,East,57,92.17,0,54.8,0
C0292,2026-01-31,Basic,South,53,37.01,5,38.04,0
C0293,2026-01-31,Premium,West,44,98.68,0,50.55,0
C0294,2026-01-31,Basic,South,19,36.79,3,55.29,0
C0295,2026-01-31,Premium,South,21,90.83,0,64.68,0
C0296,2026-01-31,Premium,North,22,92.54,1,49.63,0
C0297,2026-01-31,Premium,West,46,102.12,1,60.34,0
C0298,2026-01-31,Premium,West,13,92.74,1,40.7,0
C0299,2026-01-31,Standard,North,17,63.42,0,50.1,0
C0300,2026-01-31,Standard,South,63,63.55,1,38.62,0
C0301,2026-01-31,Standard,South,42,69.3,1,59.62,0
C0302,2026-01-31,Basic,South,13,34.96,2,30.65,0
C0303,2026-01-31,Standard,West,56,59.46,0,43.19,0
C0304,2026-01-31,Standard,North,10,59.19,1,50.22,0
C0305,2026-01-31,Premium,South,5,91.08,2,41.6,0
C0306,2026-01-31,Standard,North,50,62.39,4,29.78,0
C0307,2026-01-31,Basic,North,49,28.53,2,39.1,0
C0308,2026-01-31,Standard,West,2,73.08,0,48.44,0
C0309,2026-01-31,Basic,West,41,34.23,0,34.13,0
C0310,2026-01-31,Basic,North,21,37.73,2,25.28,0
C0311,2026-01-31,Standard,East,38,65.26,4,40.67,1
C0312,2026-01-31,Basic,North,53,41.33,0,59.36,0
C0313,2026-01-31,Basic,North,68,50.16,0,42.28,0
C0314,2026-01-31,Basic,South,42,36.86,0,41.71,0
C0315,2026-01-31,Basic,North,21,36.35,0,27.5,0
C0316,2026-01-31,Basic,South,49,31.12,1,45.81,0
C0317,2026-01-31,Basic,West,26,34.74,0,19.57,0
C0318,2026-01-31,Standard,East,8,66.7,1,41.94,0
C0319,2026-01-31,Basic,East,55,40.32,0,47.05,0
C0320,2026-01-31,Premium,South,22,95.89,3,40.95,1
C0321,2026-01-31,Premium,North,20,91.44,0,48.87,0
C0322,2026-01-31,Standard,North,56,60.09,0,29.97,0
C0323,2026-01-31,Basic,South,59,30.89,0,27.74,0
C0324,2026-01-31,Standard,North,25,70.29,0,37.97,0
C0325,2026-01-31,Premium,West,48,93.47,2,38.76,0
C0326,2026-01-31,Standard,West,50,66.6,1,54.63,0
C0327,2026-01-31,Premium,West,59,100.08,2,61.12,0
C0328,2026-01-31,Standard,East,45,70.01,1,48.88,0
C0329,2026-01-31,Standard,East,67,62.04,1,17.1,0
C0330,2026-01-31,Basic,East,35,27.74,2,24.79,0
C0331,2026-01-31,Standard,South,23,68.71,3,59.64,0
C0332,2026-01-31,Basic,East,6,30.74,0,12.3,1
C0333,2026-01-31,Standard,West,68,65.93,3,46.62,0
C0334,2026-01-31,Premium,West,31,99.83,0,39.53,0
C0335,2026-01-31,Basic,East,7,33.31,1,43.78,0
C0336,2026-01-31,Standard,North,18,62.55,1,39.9,0
C0337,2026-01-31,Basic,East,49,33.37,2,38.75,1
C0338,2026-01-31,Standard,South,36,59.34,0,53.89,0
C0339,2026-01-31,Basic,East,22,32.21,2,59.05,0
C0340,2026-01-31,Premium,East,26,92.97,2,45.03,0
C0341,2026-01-31,Basic,West,29,38.1,2,41.6,0
C0342,2026-01-31,Premium,South,11,97.75,1,48.94,0
C0343,2026-01-31,Premium,West,4,89.96,3,60.49,0
C0344,2026-01-31,Standard,West,21,65.69,1,42.59,0
C0345,2026-01-31,Standard,South,46,56.97,2,37.39,0
C0346,2026-01-31,Standard,South,3,69.55,0,45.22,0
C0347,2026-01-31,Premium,East,5,94.83,2,28.51,0
C0348,2026-01-31,Basic,West,61,33.59,0,36.82,0
C0349,2026-01-31,Standard,East,43,73.44,2,56.62,0
C0350,2026-01-31,Basic,West,17,35.89,1,41.33,0
C0351,2026-01-31,Standard,South,61,51.48,3,26.59,0
C0352,2026-01-31,Basic,East,61,35.83,0,34.61,0
C0353,2026-01-31,Standard,South,23,67.43,0,44.27,0
C0354,2026-01-31,Standard,West,19,65.62,1,25.82,0
C0355,2026-01-31,Standard,South,4,61.96,1,37.45,0
C0356,2026-01-31,Standard,East,49,66.62,2,61.28,0
C0357,2026-01-31,Standard,North,25,57.25,2,43.88,0
C0358,2026-01-31,Standard,West,2,67.92,2,50.71,0
C0359,2026-01-31,Standard,South,48,70.26,4,53.16,0
C0360,2026-01-31,Standard,South,31,67.47,3,48.02,0
C0361,2026-01-31,Premium,East,37,93.21,0,52.39,0
C0362,2026-01-31,Basic,South,43,41.14,2,60.44,0
C0363,2026-01-31,Basic,West,67,36.9,2,36.7,0
C0364,2026-01-31,Basic,East,50,37.63,5,25.56,0
C0365,2026-01-31,Standard,East,37,65.23,1,48.17,0
C0366,2026-01-31,Basic,North,37,33.36,0,37.84,0
C0367,2026-01-31,Standard,North,34,57.09,0,42.78,0
C0368,2026-01-31,,South,5,60.77,1,35.89,0
C0369,2026-01-31,Basic,West,25,28.42,2,49.88,0
C0370,2026-01-31,Premium,West,62,85.52,1,62.05,0
C0371,2026-01-31,Standard,East,21,67.75,1,30.86,0
C0372,2026-01-31,Basic,East,25,35.09,2,41.75,0
C0373,2026-01-31,Basic,South,21,36.33,3,35.47,0
C0374,2026-01-31,Basic,North,68,30.22,0,32.31,0
C0375,2026-01-31,Basic,North,11,40.02,0,46.46,0
C0376,2026-01-31,Basic,South,57,38.18,2,18.42,0
C0377,2026-01-31,Premium,South,9,97.73,1,49.99,0
C0378,2026-01-31,Standard,North,34,61.87,0,66.6,0
C0379,2026-01-31,Basic,South,52,34.7,2,40.26,0
C0380,2026-01-31,Standard,North,62,63.44,1,32.69,0
C0381,2026-01-31,Standard,East,19,64.44,2,47.24,0
C0382,2026-01-31,Premium,West,17,97.36,1,41.63,0
C0383,2026-01-31,Standard,East,18,66.76,2,40.94,0
C0384,2026-01-31,Standard,South,20,73.03,1,45.84,0
C0385,2026-01-31,,South,54,40.17,1,35.73,0
C0386,2026-01-31,Premium,South,30,97.05,1,39.31,0
C0387,2026-01-31,Standard,North,31,64.15,1,58.66,0
C0388,2026-01-31,Premium,East,5,89.05,0,51.04,0
C0389,2026-01-31,Basic,East,53,36.82,0,39.03,0
C0390,2026-01-31,Premium,North,23,96.7,0,42.79,0
C0391,2026-01-31,Standard,South,28,65.39,1,55.65,0
C0392,2026-01-31,Basic,South,18,36.02,1,43.21,0
C0393,2026-01-31,Standard,North,55,74.0,0,54.88,0
C0394,2026-01-31,Standard,East,61,62.14,1,21.49,0
C0395,2026-01-31,Basic,East,53,42.29,1,43.81,0
C0396,2026-01-31,Standard,East,8,68.93,1,47.45,0
C0397,2026-01-31,Premium,East,21,92.68,0,28.29,0
C0398,2026-01-31,Basic,West,22,36.74,1,34.45,0
C0399,2026-01-31,Standard,West,57,71.13,5,50.43,0
C0400,2026-01-31,Standard,East,31,58.55,3,47.69,0
C0001,2026-02-28,Standard,North,55,64.55,2,38.05,0
C0002,2026-02-28,Standard,South,57,63.03,1,39.09,0
C0003,2026-02-28,Premium,East,35,98.12,2,58.73,0
C0004,2026-02-28,Standard,West,52,60.47,0,49.19,0
C0005,2026-02-28,Basic,East,54,36.57,0,22.38,0
C0006,2026-02-28,Premium,West,24,95.68,2,57.5,0
C0007,2026-02-28,Standard,East,19,74.87,1,46.38,0
C0008,2026-02-28,Standard,North,14,67.81,2,49.05,0
C0009,2026-02-28,Basic,South,28,38.59,4,42.26,0
C0010,2026-02-28,Standard,West,68,71.41,0,28.41,0
C0011,2026-02-28,Basic,North,27,30.54,2,36.27,0
C0012,2026-02-28,Premium,West,38,94.11,1,53.26,0
C0013,2026-02-28,Standard,East,39,65.4,2,36.75,0
C0014,2026-02-28,Premium,South,47,97.22,0,63.11,0
C0015,2026-02-28,Standard,West,56,71.93,3,59.46,0
C0016,2026-02-28,Basic,West,45,31.32,1,56.66,0
C0017,2026-02-28,Standard,North,46,72.72,2,53.47,0
C0018,2026-02-28,Basic,North,55,31.21,0,27.47,0
C0019,2026-02-28,Premium,East,31,99.5,1,52.54,0
C0020,2026-02-28,Standard,West,45,61.84,0,51.01,0
C0021,2026-02-28,Standard,North,61,58.64,3,48.08,0
C0022,2026-02-28,Basic,East,46,38.8,0,39.69,0
C0023,2026-02-28,Premium,North,60,97.23,1,65.05,0
C0024,2026-02-28,Premium,East,29,88.28,0,54.57,0
C0025,2026-02-28,Standard,East,3,67.3,1,38.08,0
C0026,2026-02-28,Basic,North,26,30.27,1,40.03,1
C0027,2026-02-28,Standard,East,42,73.91,1,48.24,0
C0028,2026-02-28,Basic,West,70,34.14,3,28.73,0
C0029,2026-02-28,Basic,West,59,33.4,0,36.32,0
C0030,2026-02-28,Standard,North,66,65.8,3,50.54,0
C0031,2026-02-28,Standard,North,32,62.88,3,37.97,0
C0032,2026-02-28,Premium,North,12,99.79,2,65.97,0
C0033,2026-02-28,Basic,South,40,39.27,1,41.56,0
C0034,2026-02-28,Basic,North,29,30.16,0,36.6,0
C0035,2026-02-28,Standard,West,7,67.89,1,57.29,0
C0036,2026-02-28,Basic,West,17,34.56,1,33.97,0
C0037,2026-02-28,Basic,West,7,48.7,1,26.44,1
C0038,2026-02-28,Standard,North,20,61.29,0,28.83,0
C0039,2026-02-28,Basic,North,17,29.25,0,27.86,0
C0040,2026-02-28,Standard,West,62,56.42,4,40.01,0
C0041,2026-02-28,Standard,South,48,65.09,1,37.4,0
C0042,2026-02-28,Premium,East,10,,1,44.35,0
C0043,2026-02-28,Standard,West,45,62.56,0,57.61,0
C0044,2026-02-28,Basic,North,67,31.22,0,40.34,0
C0045,2026-02-28,Premium,North,68,91.37,0,49.77,0
C0046,2026-02-28,Premium,North,47,98.14,1,48.7,0
C0047,2026-02-28,Basic,North,35,38.31,2,34.93,1
C0048,2026-02-28,Basic,North,70,47.23,0,10.05,0
C0049,2026-02-28,Standard,West,46,77.11,1,39.34,0
