customer_id,snapshot_date,audit_group,tenure_months,monthly_charge,support_contacts,usage_hours,plan,region,churned_next_month
C0083,2026-01-31,Group A,17,96.62,3,47.51,Premium,West,0.0
C0084,2026-01-31,Group A,55,47.66,3,35.11,Basic,South,0.0
C0085,2026-01-31,Group A,28,29.5,1,27.56,Basic,North,0.0
C0086,2026-01-31,Group A,18,22.8,1,28.57,Basic,North,1.0
C0087,2026-01-31,Group A,5,68.42,4,34.86,Standard,West,0.0
C0088,2026-01-31,Group A,49,55.2,2,50.72,Standard,North,0.0
C0089,2026-01-31,Group A,2,32.79,1,37.48,Basic,West,0.0
C0090,2026-01-31,Group A,15,66.41,2,47.59,Standard,South,0.0
C0091,2026-01-31,Group B,56,36.45,1,24.23,Basic,North,0.0
C0092,2026-01-31,Group A,44,56.49,2,53.14,Standard,South,0.0
C0093,2026-01-31,Group A,63,53.36,2,39.73,Standard,East,0.0
C0094,2026-01-31,Group A,58,35.5,1,23.5,Basic,South,0.0
C0095,2026-01-31,Group A,12,40.14,2,19.93,Basic,West,0.0
C0096,2026-01-31,Group A,27,60.08,3,29.91,Standard,East,0.0
C0097,2026-01-31,Group A,15,39.1,3,29.23,Basic,South,0.0
C0098,2026-01-31,Group C,5,38.84,0,35.17,Basic,East,0.0
C0099,2026-01-31,Group A,50,30.86,0,45.27,Basic,West,0.0
C0100,2026-01-31,Group A,20,85.79,1,34.69,Premium,South,0.0
C0101,2026-01-31,Group A,49,91.49,1,46.28,Premium,North,0.0
C0102,2026-01-31,Group A,17,68.31,0,48.63,Standard,South,0.0
C0103,2026-01-31,Group A,21,37.92,0,40.71,Basic,West,0.0
C0104,2026-01-31,Group B,64,93.6,2,55.69,Premium,North,0.0
C0105,2026-01-31,Group C,63,64.43,1,30.42,Standard,West,0.0
C0106,2026-01-31,Group A,41,69.08,1,32.63,Standard,East,0.0
C0107,2026-01-31,Group A,43,64.39,1,55.32,Standard,East,0.0
C0108,2026-01-31,Group A,23,37.77,0,51.42,Basic,South,0.0
C0109,2026-01-31,Group A,19,39.6,0,22.16,Basic,West,0.0
C0110,2026-01-31,Group B,33,103.53,2,52.1,Premium,North,0.0
C0111,2026-01-31,Group A,7,65.05,0,51.77,Standard,South,0.0
C0112,2026-01-31,Group A,69,33.93,2,43.53,Basic,South,0.0
C0113,2026-01-31,Group C,26,33.14,0,40.6,Basic,South,0.0
C0114,2026-01-31,Group A,7,67.71,0,43.41,Standard,South,0.0
C0115,2026-01-31,Group A,45,30.67,1,30.58,Basic,North,1.0
C0116,2026-01-31,Group B,62,98.94,3,35.81,Premium,North,0.0
C0117,2026-01-31,Group A,35,56.33,0,33.0,Standard,North,0.0
C0118,2026-01-31,Group A,4,63.1,3,54.43,Standard,East,0.0
C0119,2026-01-31,Group A,22,60.29,5,40.8,Standard,South,0.0
C0120,2026-01-31,Group C,15,76.36,1,42.25,Standard,East,0.0
C0121,2026-01-31,Group A,42,60.18,2,27.44,Standard,East,0.0
C0122,2026-01-31,Group A,35,64.57,1,36.15,Standard,East,0.0
C0123,2026-01-31,Group A,21,42.05,0,34.85,Basic,East,0.0
C0124,2026-01-31,Group A,60,26.96,3,33.0,Basic,East,0.0
C0125,2026-01-31,Group B,63,32.28,1,44.59,Basic,East,0.0
C0126,2026-01-31,Group A,65,60.51,1,53.97,Standard,East,0.0
C0127,2026-01-31,Group B,28,26.66,0,32.23,Basic,East,0.0
C0128,2026-01-31,Group B,62,31.61,1,28.86,Basic,South,0.0
C0129,2026-01-31,Group C,10,42.69,2,46.78,Basic,North,0.0
C0130,2026-01-31,Group A,34,72.33,1,41.16,Standard,West,0.0
C0131,2026-01-31,Group C,13,40.7,2,35.53,Basic,South,0.0
C0132,2026-01-31,Group B,19,93.35,0,68.23,Premium,East,0.0
C0133,2026-01-31,Group A,65,60.22,2,50.53,Standard,North,0.0
C0134,2026-01-31,Group B,61,36.46,1,20.64,Basic,South,0.0
C0135,2026-01-31,Group C,7,71.43,0,42.0,Standard,East,0.0
C0136,2026-01-31,Group A,18,34.1,2,43.47,Basic,East,0.0
C0137,2026-01-31,Group C,19,92.89,1,49.43,Premium,East,0.0
C0138,2026-01-31,Group A,26,68.46,2,42.48,Standard,South,0.0
C0139,2026-01-31,Group B,39,72.83,1,43.87,Standard,West,0.0
C0140,2026-01-31,Group C,20,41.16,0,34.82,Basic,East,0.0
C0141,2026-01-31,Group A,60,56.22,1,47.3,Standard,West,0.0
C0142,2026-01-31,Group B,26,58.6,0,32.18,Standard,East,0.0
C0143,2026-01-31,Group A,40,96.97,3,52.34,Premium,East,0.0
C0144,2026-01-31,Group B,61,69.18,0,39.15,Standard,West,0.0
C0145,2026-01-31,Group B,36,64.75,3,37.33,Standard,North,1.0
C0146,2026-01-31,Group A,32,35.34,1,40.08,Basic,West,0.0
C0147,2026-01-31,Group A,37,35.88,0,56.8,Basic,West,0.0
C0148,2026-01-31,Group A,11,62.07,0,28.91,Standard,East,0.0
C0149,2026-01-31,Group A,41,58.49,2,41.07,Standard,East,0.0
C0150,2026-01-31,Group A,65,33.82,2,24.44,Basic,East,0.0
C0151,2026-01-31,Group A,2,90.84,0,60.43,Premium,South,0.0
C0152,2026-01-31,Group A,35,94.17,2,50.07,Premium,West,0.0
C0153,2026-01-31,Group A,16,26.9,0,40.89,Basic,North,0.0
C0154,2026-01-31,Group B,49,68.75,2,56.24,Standard,South,0.0
C0155,2026-01-31,Group B,61,25.89,3,34.26,Basic,East,1.0
C0156,2026-01-31,Group B,66,64.18,3,52.97,Standard,West,0.0
C0157,2026-01-31,Group A,37,37.33,0,12.58,Basic,South,0.0
C0158,2026-01-31,Group C,27,67.51,0,55.01,Standard,South,0.0
C0159,2026-01-31,Group B,41,62.75,2,44.49,Standard,North,0.0
C0160,2026-01-31,Group A,6,67.8,3,57.08,Standard,North,0.0
C0161,2026-01-31,Group A,16,39.85,0,23.72,Basic,North,0.0
C0162,2026-01-31,Group B,23,,2,53.15,Premium,North,1.0
C0163,2026-01-31,Group A,31,33.18,0,34.14,Basic,West,0.0
C0164,2026-01-31,Group A,18,27.69,1,33.17,Basic,West,0.0
C0165,2026-01-31,Group C,23,68.38,1,48.04,Standard,West,0.0
C0166,2026-01-31,Group A,24,44.21,0,45.18,Basic,North,0.0
C0167,2026-01-31,Group A,45,99.85,1,41.02,Premium,North,0.0
C0168,2026-01-31,Group C,43,96.15,1,63.54,Premium,South,0.0
C0169,2026-01-31,Group B,34,31.68,2,39.73,Basic,East,0.0
C0170,2026-01-31,Group A,27,98.93,0,47.06,Premium,South,0.0
C0171,2026-01-31,Group C,24,36.22,0,29.6,Basic,South,0.0
C0172,2026-01-31,Group C,12,63.3,1,49.16,Standard,North,0.0
C0173,2026-01-31,Group B,13,28.71,2,8.84,Basic,East,1.0
C0174,2026-01-31,Group B,42,91.61,2,48.62,Premium,South,0.0
C0175,2026-01-31,Group A,64,28.39,0,11.36,Basic,North,0.0
C0176,2026-01-31,Group A,18,36.53,0,38.46,Basic,East,0.0
C0177,2026-01-31,Group B,38,65.71,2,45.49,Standard,West,0.0
C0178,2026-01-31,Group A,56,94.53,1,64.63,Premium,North,0.0
C0179,2026-01-31,Group B,48,95.39,2,55.29,Premium,South,0.0
C0180,2026-01-31,Group C,64,70.11,1,30.72,Standard,West,0.0
C0181,2026-01-31,Group A,15,95.1,0,53.15,Premium,East,0.0
C0182,2026-01-31,Group B,46,104.72,4,65.24,Premium,West,0.0
C0183,2026-01-31,Group A,15,61.39,0,53.39,Standard,South,0.0
C0184,2026-01-31,Group C,6,36.38,3,36.53,Basic,South,0.0
C0185,2026-01-31,Group A,58,70.89,0,46.22,Standard,East,0.0
C0186,2026-01-31,Group B,46,72.11,1,21.06,Standard,North,0.0
C0187,2026-01-31,Group B,46,35.12,0,45.82,Basic,North,0.0
C0188,2026-01-31,Group A,42,40.85,3,23.79,Basic,East,1.0
C0189,2026-01-31,Group B,41,52.42,0,49.13,Standard,East,0.0
C0190,2026-01-31,Group B,24,35.92,1,37.73,Basic,North,0.0
C0191,2026-01-31,Group B,2,95.14,1,69.8,Premium,East,0.0
C0192,2026-01-31,Group B,42,,3,31.24,Basic,South,0.0
C0193,2026-01-31,Group C,18,31.08,2,28.35,Basic,East,0.0
C0194,2026-01-31,Group A,64,102.73,1,67.74,Premium,West,0.0
C0195,2026-01-31,Group A,3,42.93,2,47.78,Basic,North,0.0
C0196,2026-01-31,Group A,55,34.7,1,37.87,Basic,West,0.0
C0197,2026-01-31,Group B,6,69.1,1,57.67,Standard,South,1.0
C0198,2026-01-31,Group B,32,100.3,5,42.15,Premium,West,1.0
C0199,2026-01-31,Group A,18,32.89,0,36.77,Basic,South,0.0
C0200,2026-01-31,Group A,17,40.29,1,26.56,Basic,South,0.0
C0201,2026-01-31,Group C,28,64.15,4,39.39,Standard,West,1.0
C0202,2026-01-31,Group A,61,88.21,0,41.3,Premium,East,0.0
C0203,2026-01-31,Group B,50,70.46,2,47.0,Standard,North,0.0
C0204,2026-01-31,Group A,53,30.83,0,39.57,Basic,East,0.0
C0205,2026-01-31,Group C,2,36.0,1,31.49,Basic,West,1.0
C0206,2026-01-31,Group A,32,39.44,0,24.08,Basic,South,0.0
C0207,2026-01-31,Group A,6,34.62,0,40.38,Basic,West,0.0
C0208,2026-01-31,Group C,14,70.89,3,45.7,Standard,East,0.0
C0209,2026-01-31,Group C,40,35.02,0,28.02,Basic,South,0.0
C0210,2026-01-31,Group A,59,60.77,0,51.86,Standard,North,0.0
C0211,2026-01-31,Group A,29,56.37,3,30.45,Standard,East,0.0
C0212,2026-01-31,Group B,45,59.46,0,32.44,Standard,North,1.0
C0213,2026-01-31,Group C,59,30.47,1,25.35,Basic,West,0.0
C0214,2026-01-31,Group A,5,91.08,2,67.74,Premium,East,0.0
C0215,2026-01-31,Group A,56,68.91,4,35.63,Standard,South,0.0
C0216,2026-01-31,Group B,43,68.79,0,49.99,Standard,North,0.0
C0217,2026-01-31,Group B,57,41.08,0,32.33,Basic,East,0.0
C0218,2026-01-31,Group B,35,31.67,1,41.98,Basic,North,1.0
C0219,2026-01-31,Group B,18,97.73,2,54.17,Premium,South,1.0
C0220,2026-01-31,Group A,39,31.88,6,44.12,Basic,West,1.0
C0221,2026-01-31,Group C,68,34.05,2,41.05,Basic,West,0.0
C0222,2026-01-31,Group C,8,63.01,1,31.12,Standard,West,0.0
C0223,2026-01-31,Group B,38,60.46,2,32.91,Standard,West,0.0
C0224,2026-01-31,Group A,57,108.36,1,43.33,Premium,East,0.0
C0225,2026-01-31,Group A,26,37.73,0,24.5,Basic,North,0.0
C0226,2026-01-31,Group B,8,90.62,1,57.39,Premium,West,0.0
C0227,2026-01-31,Group A,55,38.44,0,37.13,Basic,West,0.0
C0228,2026-01-31,Group C,22,68.14,3,66.26,Standard,West,1.0
C0229,2026-01-31,Group A,20,67.82,0,24.8,Standard,East,1.0
C0230,2026-01-31,Group B,56,31.38,0,32.93,Basic,North,0.0
C0231,2026-01-31,Group C,59,29.1,1,26.28,Basic,East,1.0
C0232,2026-01-31,Group A,25,40.82,4,28.69,Basic,South,1.0
C0233,2026-01-31,Group A,11,97.4,0,51.56,Premium,West,0.0
C0234,2026-01-31,Group B,24,65.21,0,20.33,Standard,South,0.0
C0235,2026-01-31,Group B,11,97.33,0,59.22,Premium,South,0.0
C0236,2026-01-31,Group A,30,102.13,1,74.14,Premium,North,0.0
C0237,2026-01-31,Group B,67,60.43,1,36.96,Standard,West,0.0
C0238,2026-01-31,Group C,35,62.76,2,39.07,Standard,West,0.0
C0239,2026-01-31,Group A,23,29.24,4,49.77,Basic,North,1.0
C0240,2026-01-31,Group A,6,36.29,0,35.82,Basic,South,0.0
C0241,2026-01-31,Group A,56,94.78,3,52.52,Premium,South,0.0
C0242,2026-01-31,Group A,50,61.76,1,25.23,Standard,South,0.0
C0243,2026-01-31,Group A,14,43.06,2,43.42,Basic,West,0.0
C0244,2026-01-31,Group A,25,64.81,0,29.23,Standard,North,0.0
C0245,2026-01-31,Group B,58,55.42,2,33.0,Standard,South,1.0
C0246,2026-01-31,Group A,56,93.0,1,49.31,Premium,North,0.0
C0247,2026-01-31,Group C,40,70.05,1,35.04,Standard,North,0.0
C0248,2026-01-31,Group A,48,29.86,0,29.21,Basic,West,0.0
C0249,2026-01-31,Group A,29,37.21,2,44.56,Basic,West,0.0
C0250,2026-01-31,Group B,11,75.31,1,34.71,Standard,North,0.0
C0251,2026-01-31,Group C,4,62.78,3,48.38,Standard,East,0.0
C0252,2026-01-31,Group A,21,100.44,1,40.11,Premium,North,0.0
C0253,2026-01-31,Group A,46,63.43,2,30.0,Standard,North,0.0
C0254,2026-01-31,Group A,3,36.42,0,57.86,Basic,South,0.0
C0255,2026-01-31,Group B,5,25.57,2,45.97,Basic,North,0.0
C0256,2026-01-31,Group A,61,63.77,0,43.47,Standard,South,0.0
C0257,2026-01-31,Group A,43,98.91,2,51.97,Premium,West,0.0
C0258,2026-01-31,Group A,17,37.7,1,32.12,Basic,East,0.0
C0259,2026-01-31,Group A,61,31.89,3,23.14,Basic,East,0.0
C0260,2026-01-31,Group C,61,64.72,0,45.17,Standard,South,0.0
C0261,2026-01-31,Group B,23,28.59,0,37.61,Basic,North,0.0
C0262,2026-01-31,Group A,19,93.72,1,52.35,Premium,North,0.0
C0263,2026-01-31,Group A,4,38.13,1,31.03,Basic,South,0.0
C0264,2026-01-31,Group A,49,44.39,2,24.65,Basic,North,0.0
C0265,2026-01-31,Group A,25,92.5,0,47.23,Premium,West,0.0
C0266,2026-01-31,Group B,2,26.37,0,38.86,Basic,West,0.0
C0267,2026-01-31,Group C,36,33.7,1,19.17,Basic,West,0.0
C0268,2026-01-31,Group C,32,27.42,3,39.55,Basic,East,0.0
C0269,2026-01-31,Group C,39,24.02,3,28.42,Basic,East,0.0
C0270,2026-01-31,Group C,49,29.47,0,35.21,Basic,East,0.0
C0271,2026-01-31,Group C,25,34.42,2,32.54,Basic,South,0.0
C0272,2026-01-31,Group A,28,37.63,2,51.2,Basic,East,0.0
C0273,2026-01-31,Group A,42,35.5,5,37.3,Basic,West,0.0
C0274,2026-01-31,Group A,50,65.32,1,32.43,Standard,West,0.0
C0275,2026-01-31,Group B,48,69.89,0,47.93,Standard,East,0.0
C0276,2026-01-31,Group A,9,38.52,0,21.12,Basic,North,0.0
C0277,2026-01-31,Group C,22,36.18,0,26.58,Basic,East,0.0
C0278,2026-01-31,Group B,56,58.09,3,40.25,Standard,South,0.0
C0279,2026-01-31,Group B,68,102.11,0,38.09,Premium,East,0.0
C0280,2026-01-31,Group A,69,97.75,1,65.51,Premium,East,0.0
C0281,2026-01-31,Group A,38,35.09,1,34.72,Basic,West,0.0
C0282,2026-01-31,Group A,64,41.55,0,35.3,Basic,South,0.0
C0283,2026-01-31,Group C,3,33.81,1,30.54,Basic,West,0.0
C0284,2026-01-31,Group B,34,42.2,1,32.12,Basic,West,0.0
C0285,2026-01-31,Group B,51,67.97,0,52.74,Standard,South,0.0
C0286,2026-01-31,Group A,52,34.09,3,49.9,Basic,South,0.0
C0287,2026-01-31,Group A,32,31.87,1,44.42,Basic,East,0.0
C0288,2026-01-31,Group A,56,34.7,3,58.64,Basic,West,0.0
C0289,2026-01-31,Group B,69,57.07,1,33.16,Standard,East,0.0
C0290,2026-01-31,Group B,16,28.38,0,38.56,Basic,West,0.0
C0291,2026-01-31,Group A,3,97.36,2,43.17,Premium,South,0.0
C0292,2026-01-31,Group C,62,30.93,1,33.32,Basic,East,0.0
C0293,2026-01-31,Group A,25,100.24,3,54.36,Premium,South,0.0
C0294,2026-01-31,Group C,40,40.17,1,20.56,Basic,West,0.0
C0295,2026-01-31,Group A,19,97.91,1,44.58,Premium,South,0.0
C0296,2026-01-31,Group A,56,88.72,0,51.27,Premium,East,0.0
C0297,2026-01-31,Group C,20,97.45,1,35.1,Premium,North,0.0
C0298,2026-01-31,Group A,18,,1,61.4,Premium,West,0.0
C0299,2026-01-31,Group A,17,75.27,3,38.97,Standard,South,1.0
C0300,2026-01-31,Group A,16,59.88,1,79.45,Standard,South,0.0
C0301,2026-01-31,Group A,4,67.24,2,48.94,Standard,East,0.0
C0302,2026-01-31,Group B,25,26.13,1,33.79,Basic,South,0.0
C0303,2026-01-31,Group C,53,69.03,2,32.69,Standard,West,0.0
C0304,2026-01-31,Group C,8,64.81,0,63.29,Standard,East,0.0
C0305,2026-01-31,Group A,21,85.74,0,59.76,Premium,East,0.0
C0306,2026-01-31,Group B,22,63.67,1,48.41,Standard,North,0.0
C0307,2026-01-31,Group A,57,38.63,6,27.03,Basic,North,0.0
C0308,2026-01-31,Group A,31,58.55,1,45.04,Standard,South,0.0
C0309,2026-01-31,Group A,51,34.55,2,34.23,Basic,West,0.0
C0310,2026-01-31,Group C,57,41.84,2,47.2,Basic,West,0.0
C0311,2026-01-31,Group C,34,66.74,2,54.4,Standard,East,0.0
C0312,2026-01-31,Group B,51,35.02,0,32.32,Basic,East,0.0
C0313,2026-01-31,Group A,53,34.16,0,15.65,Basic,South,0.0
C0314,2026-01-31,Group A,23,37.44,2,27.83,Basic,North,0.0
C0315,2026-01-31,Group B,18,38.05,2,36.95,Basic,North,0.0
C0316,2026-01-31,Group B,13,35.68,1,49.72,Basic,South,0.0
C0317,2026-01-31,Group A,27,38.59,3,52.73,Basic,South,0.0
C0318,2026-01-31,Group A,67,61.05,1,36.09,Standard,North,0.0
C0319,2026-01-31,Group A,26,31.29,2,34.26,Basic,South,0.0
C0320,2026-01-31,Group C,37,94.11,0,59.98,Premium,North,0.0
C0321,2026-01-31,Group A,10,95.4,2,36.34,Premium,East,0.0
C0322,2026-01-31,Group C,46,67.28,1,46.15,Standard,West,0.0
C0323,2026-01-31,Group A,55,36.14,3,45.4,Basic,East,0.0
C0324,2026-01-31,Group B,44,68.51,1,37.61,Standard,South,0.0
C0325,2026-01-31,Group A,45,91.64,2,43.05,Premium,South,0.0
C0326,2026-01-31,Group A,54,79.0,2,44.23,Standard,South,0.0
C0327,2026-01-31,Group A,40,101.5,0,45.42,Premium,North,0.0
C0328,2026-01-31,Group A,33,62.52,2,41.53,Standard,East,0.0
C0329,2026-01-31,Group C,4,68.8,3,36.71,Standard,East,1.0
C0330,2026-01-31,Group A,67,39.62,1,37.86,Basic,North,0.0
C0331,2026-01-31,Group B,11,67.1,1,36.92,Standard,South,0.0
C0332,2026-01-31,Group A,31,34.64,2,42.28,Basic,South,0.0
C0333,2026-01-31,Group A,47,74.12,1,48.02,Standard,North,0.0
C0334,2026-01-31,Group B,33,92.54,1,57.22,Premium,East,0.0
C0335,2026-01-31,Group A,26,26.7,2,35.98,Basic,East,0.0
C0336,2026-01-31,Group C,50,61.26,1,25.12,Standard,East,0.0
C0337,2026-01-31,Group B,50,34.51,2,41.09,Basic,East,0.0
C0338,2026-01-31,Group B,37,62.37,0,42.47,Standard,West,0.0
C0339,2026-01-31,Group A,9,33.5,3,44.16,Basic,West,0.0
C0340,2026-01-31,Group A,27,,2,59.0,Premium,East,0.0
C0341,2026-01-31,Group C,28,45.72,1,13.59,Basic,West,0.0
C0342,2026-01-31,Group A,46,96.41,0,41.39,Premium,South,0.0
C0343,2026-01-31,Group A,8,96.48,2,54.02,Premium,West,0.0
C0344,2026-01-31,Group A,11,64.53,0,32.27,Standard,West,0.0
C0345,2026-01-31,Group B,56,61.29,0,48.49,Standard,East,0.0
C0346,2026-01-31,Group B,8,55.64,0,40.3,Standard,West,0.0
C0347,2026-01-31,Group B,60,98.57,1,51.91,Premium,East,0.0
C0348,2026-01-31,Group B,61,29.54,0,35.81,Basic,East,0.0
C0349,2026-01-31,Group A,47,59.87,1,48.44,Standard,South,0.0
C0350,2026-01-31,Group C,9,29.38,1,35.66,Basic,West,0.0
C0351,2026-01-31,Group A,44,72.03,0,22.59,Standard,East,0.0
C0352,2026-01-31,Group B,66,30.09,1,43.2,Basic,West,0.0
C0353,2026-01-31,Group A,27,53.3,1,47.93,Standard,South,0.0
C0354,2026-01-31,Group C,7,58.16,0,41.81,Standard,West,0.0
C0355,2026-01-31,Group A,61,57.39,1,39.4,Standard,North,0.0
C0356,2026-01-31,Group A,68,57.03,0,62.3,Standard,North,0.0
C0357,2026-01-31,Group A,45,58.4,2,49.37,Standard,East,0.0
C0358,2026-01-31,Group A,50,61.74,0,56.45,Standard,East,0.0
C0359,2026-01-31,Group A,69,68.33,1,30.61,Standard,West,0.0
C0360,2026-01-31,Group B,13,57.83,1,34.85,Standard,South,0.0
C0361,2026-01-31,Group A,30,95.34,5,61.07,Premium,East,0.0
C0362,2026-01-31,Group C,23,38.52,2,37.51,Basic,East,0.0
C0363,2026-01-31,Group A,38,31.37,2,25.74,Basic,West,0.0
C0364,2026-01-31,Group B,27,35.13,0,37.69,Basic,East,0.0
C0365,2026-01-31,Group A,31,71.7,2,55.76,Standard,South,0.0
C0366,2026-01-31,Group B,66,29.83,4,33.7,Basic,West,1.0
C0367,2026-01-31,Group B,11,61.66,0,54.48,Standard,North,0.0
C0368,2026-01-31,Group A,55,68.88,1,45.39,Standard,West,1.0
C0369,2026-01-31,Group C,57,29.38,2,46.19,Basic,North,0.0
C0370,2026-01-31,Group A,29,89.83,1,45.31,Premium,South,0.0
C0371,2026-01-31,Group A,3,70.06,0,35.32,Standard,West,0.0
C0372,2026-01-31,Group B,43,39.48,1,37.36,Basic,East,0.0
C0373,2026-01-31,Group C,12,30.81,2,46.26,Basic,West,0.0
C0374,2026-01-31,Group A,44,43.61,1,25.96,Basic,East,0.0
C0375,2026-01-31,Group A,35,35.98,2,24.23,Basic,East,1.0
