customer_id,prediction_date,tenure_months,monthly_charge,support_contacts,usage_hours,plan,region
C0347,2026-07-31,29,100.43,2,86.8,Premium,East
C0132,2026-07-31,50,98.33,1,54.94,Premium,East
C0434,2026-07-31,36,90.28,1,29.44,Premium,North
C0457,2026-07-31,25,99.08,0,37.89,Premium,East
C0070,2026-07-31,65,,1,47.39,Standard,North
C0358,2026-07-31,30,66.61,1,58.73,Standard,East
C0424,2026-07-31,29,28.14,1,42.48,Basic,North
C0335,2026-07-31,17,33.69,1,30.12,Basic,West
C0228,2026-07-31,28,66.96,0,40.48,Standard,South
C0435,2026-07-31,20,34.95,0,45.61,Basic,West
C0437,2026-07-31,70,27.19,3,34.81,Basic,South
C0209,2026-07-31,33,40.81,2,30.9,Basic,South
C0333,2026-07-31,33,61.03,1,65.49,Standard,South
C0221,2026-07-31,59,37.18,2,34.35,Basic,South
C0503,2026-07-31,57,85.37,0,44.99,Premium,North
C0325,2026-07-31,73,89.38,0,58.39,Premium,East
C0185,2026-07-31,49,62.8,0,73.07,Standard,South
C0498,2026-07-31,35,59.86,2,57.7,Standard,North
C0356,2026-07-31,14,61.96,1,53.49,Standard,East
C0321,2026-07-31,26,102.29,3,43.46,Premium,North
C0196,2026-07-31,14,32.37,0,53.43,Basic,South
C0336,2026-07-31,64,57.18,0,60.68,Standard,West
C0493,2026-07-31,44,57.42,1,43.65,Standard,West
C0451,2026-07-31,53,36.6,1,54.59,Basic,South
C0508,2026-07-31,15,97.5,1,59.04,Premium,West
C0087,2026-07-31,35,67.27,3,50.5,Standard,West
C0432,2026-07-31,65,62.15,1,48.6,Standard,East
C0076,2026-07-31,14,30.91,4,66.73,Basic,South
C0458,2026-07-31,11,66.57,1,43.35,Standard,West
C0016,2026-07-31,37,35.1,1,44.24,Basic,West
C0422,2026-07-31,33,30.35,1,26.11,Basic,South
C0183,2026-07-31,49,64.25,0,52.66,Standard,West
C0474,2026-07-31,18,32.3,1,25.69,Basic,South
C0020,2026-07-31,30,60.27,1,49.58,Standard,South
C0398,2026-07-31,63,31.72,1,36.64,Basic,East
C0057,2026-07-31,64,,1,57.82,Standard,West
C0501,2026-07-31,42,71.66,1,34.12,Standard,South
C0343,2026-07-31,22,96.67,1,52.44,Premium,South
C0441,2026-07-31,56,109.64,1,45.78,Premium,North
C0405,2026-07-31,51,97.03,5,48.82,Premium,North
C0026,2026-07-31,72,29.86,4,50.71,Basic,South
C0262,2026-07-31,36,102.73,1,57.67,Premium,South
C0043,2026-07-31,31,67.24,1,45.49,Standard,West
C0510,2026-07-31,21,37.24,2,61.29,Basic,North
C0272,2026-07-31,70,30.6,1,44.68,Basic,South
C0210,2026-07-31,34,67.85,3,70.93,Standard,West
C0288,2026-07-31,37,29.61,1,47.56,Basic,North
C0127,2026-07-31,53,32.15,3,42.61,Basic,North
C0415,2026-07-31,54,38.11,0,27.84,Basic,East
C0032,2026-07-31,61,83.21,3,36.95,Premium,North
C0114,2026-07-31,25,62.28,1,47.53,Standard,West
C0361,2026-07-31,33,94.16,0,50.85,Premium,West
C0291,2026-07-31,12,93.03,0,52.46,Premium,South
C0155,2026-07-31,41,31.17,0,46.43,Basic,East
C0058,2026-07-31,70,58.55,0,34.5,Standard,West
C0212,2026-07-31,73,69.6,2,50.24,Standard,South
C0025,2026-07-31,35,63.74,1,61.43,Standard,West
C0018,2026-07-31,18,32.9,0,42.82,Basic,West
C0246,2026-07-31,12,99.4,2,60.66,Premium,North
C0067,2026-07-31,47,66.85,0,54.25,Standard,North
C0230,2026-07-31,7,34.38,2,27.19,Basic,North
C0226,2026-07-31,56,88.06,0,56.3,Premium,North
C0095,2026-07-31,33,37.11,0,45.43,Basic,East
C0463,2026-07-31,28,97.04,1,55.34,Premium,North
C0285,2026-07-31,46,66.98,0,30.99,Standard,West
C0024,2026-07-31,18,93.98,1,36.7,Premium,East
C0245,2026-07-31,59,66.33,1,42.67,Standard,South
C0423,2026-07-31,45,31.66,0,25.17,Basic,North
C0376,2026-07-31,8,32.4,1,42.39,Basic,West
C0006,2026-07-31,17,93.12,1,56.13,Premium,North
C0117,2026-07-31,43,53.22,1,58.5,Standard,North
C0046,2026-07-31,61,97.48,1,75.2,Premium,West
C0408,2026-07-31,64,95.29,1,61.22,Premium,West
C0017,2026-07-31,14,68.25,3,46.78,Standard,South
C0485,2026-07-31,51,34.42,0,51.07,Basic,East
C0371,2026-07-31,10,62.01,1,27.74,Standard,North
C0004,2026-07-31,41,64.8,2,53.22,Standard,South
C0275,2026-07-31,30,74.92,0,60.41,Standard,West
C0427,2026-07-31,7,32.24,0,46.14,Basic,East
C0061,2026-07-31,59,74.15,1,25.74,Standard,South
C0111,2026-07-31,56,68.17,3,48.1,Standard,South
C0330,2026-07-31,47,36.55,3,25.22,Basic,East
C0273,2026-07-31,43,39.93,0,44.58,Basic,West
C0030,2026-07-31,8,64.21,0,49.07,Standard,North
C0281,2026-07-31,73,41.92,0,24.21,Basic,North
C0412,2026-07-31,63,63.95,2,39.58,Standard,North
C0027,2026-07-31,43,60.28,0,38.02,Standard,West
C0008,2026-07-31,61,64.01,1,59.82,Standard,East
C0182,2026-07-31,56,92.55,0,62.57,Premium,East
C0473,2026-07-31,46,34.26,0,39.99,Basic,East
C0109,2026-07-31,56,38.59,0,47.49,Basic,East
C0038,2026-07-31,61,63.93,0,57.42,Standard,North
C0158,2026-07-31,22,52.59,0,50.81,Standard,West
C0489,2026-07-31,17,64.98,0,36.1,Standard,North
C0119,2026-07-31,52,63.16,3,53.0,Standard,South
C0115,2026-07-31,48,31.08,1,22.91,Basic,South
C0426,2026-07-31,22,104.07,1,57.83,Premium,North
C0176,2026-07-31,20,36.65,2,41.11,Basic,North
C0205,2026-07-31,68,42.76,0,38.29,Basic,West
C0370,2026-07-31,33,99.0,0,50.68,Premium,South
C0145,2026-07-31,53,65.7,3,64.57,Standard,South
C0195,2026-07-31,31,37.5,1,48.99,Basic,East
C0384,2026-07-31,63,62.51,0,42.62,Standard,East
C0396,2026-07-31,38,61.09,2,48.29,Standard,North
C0377,2026-07-31,29,96.36,3,49.62,Premium,East
