customer_id,prediction_date,tenure_months,monthly_charge,support_contacts,usage_hours,plan,region
C0204,2026-06-30,41,48.44,0,44.17,Basic,South
C0155,2026-06-30,71,37.68,2,43.64,Basic,East
C0064,2026-06-30,41,,1,61.38,Standard,West
C0111,2026-06-30,13,61.03,1,59.26,Standard,North
C0312,2026-06-30,34,44.78,0,53.0,Basic,East
C0313,2026-06-30,17,38.28,0,44.45,Basic,South
C0127,2026-06-30,69,37.56,0,49.95,Basic,East
C0324,2026-06-30,67,71.86,1,66.45,Standard,East
C0347,2026-06-30,23,97.15,1,57.1,Premium,North
C0383,2026-06-30,30,63.13,0,57.67,Standard,West
C0027,2026-06-30,41,58.52,0,45.5,Standard,West
C0008,2026-06-30,22,62.73,2,48.8,Standard,North
C0200,2026-06-30,28,36.55,2,28.41,Basic,West
C0392,2026-06-30,58,30.61,1,65.16,Basic,East
C0109,2026-06-30,39,34.44,3,58.39,Basic,West
C0102,2026-06-30,63,65.77,0,70.33,Standard,South
C0359,2026-06-30,49,69.74,0,53.48,Standard,West
C0030,2026-06-30,13,72.93,0,45.24,Standard,North
C0141,2026-06-30,60,63.8,3,36.94,Standard,East
C0393,2026-06-30,16,62.64,1,65.96,Standard,West
C0119,2026-06-30,50,63.93,2,53.26,Standard,West
C0115,2026-06-30,64,33.65,1,37.56,Basic,West
C0299,2026-06-30,53,70.02,2,36.55,Standard,East
C0269,2026-06-30,36,44.41,2,30.75,Basic,West
C0142,2026-06-30,13,74.13,2,74.49,Standard,East
C0156,2026-06-30,44,67.42,1,33.08,Standard,East
C0374,2026-06-30,16,35.12,1,48.58,Basic,West
C0311,2026-06-30,38,73.5,1,64.56,Standard,South
C0212,2026-06-30,69,67.73,1,48.91,Standard,South
C0153,2026-06-30,36,31.63,6,54.73,Basic,North
C0291,2026-06-30,41,99.79,1,76.97,Premium,South
C0110,2026-06-30,23,106.65,2,45.01,Premium,South
C0181,2026-06-30,56,91.63,0,58.89,Premium,North
C0194,2026-06-30,22,88.69,1,38.95,Premium,South
C0158,2026-06-30,37,67.4,1,42.29,Standard,South
C0182,2026-06-30,46,98.39,6,54.7,Premium,North
C0084,2026-06-30,60,35.07,1,48.13,Basic,North
C0178,2026-06-30,49,93.32,4,66.94,Premium,South
C0166,2026-06-30,32,32.2,2,47.35,Basic,West
C0075,2026-06-30,74,36.22,1,42.65,Basic,East
C0210,2026-06-30,73,70.04,1,55.74,Standard,North
C0120,2026-06-30,31,56.87,2,47.7,Standard,South
C0223,2026-06-30,64,66.45,2,36.79,Standard,North
C0250,2026-06-30,8,62.5,2,40.57,Standard,North
C0239,2026-06-30,52,34.46,0,34.68,Basic,South
C0333,2026-06-30,10,65.67,3,48.73,Standard,South
C0378,2026-06-30,53,71.03,1,46.2,Standard,East
C0351,2026-06-30,66,64.21,1,48.52,Standard,South
C0379,2026-06-30,65,37.53,1,31.76,Basic,West
C0326,2026-06-30,67,60.05,0,43.46,Standard,North
C0339,2026-06-30,29,42.63,2,41.07,Basic,South
